ticker,weight,pct_of_invested,sector
AAPL,0.0094395410569054,0.0104166666666666,Information Technology
ADI,0.0094395410569054,0.0104166666666666,Information Technology
ADM,0.0094395410569054,0.0104166666666666,Consumer Staples
AES,0.0094395410569054,0.0104166666666666,Utilities
AKAM,0.0094395410569054,0.0104166666666666,Information Technology
ALB,0.0094395410569054,0.0104166666666666,Materials
AMAT,0.0094395410569054,0.0104166666666666,Information Technology
AMCR,0.0094395410569054,0.0104166666666666,Materials
AMD,0.0094395410569054,0.0104166666666666,Information Technology
APA,0.0094395410569054,0.0104166666666666,Energy
APH,0.0094395410569054,0.0104166666666666,Information Technology
AVGO,0.0094395410569054,0.0104166666666666,Information Technology
BG,0.0094395410569054,0.0104166666666666,Consumer Staples
BIIB,0.0094395410569054,0.0104166666666666,Health Care
BKR,0.0094395410569054,0.0104166666666666,Energy
C,0.0094395410569054,0.0104166666666666,Financials
CAT,0.0094395410569054,0.0104166666666666,Industrials
CBOE,0.0094395410569054,0.0104166666666666,Financials
CFG,0.0094395410569054,0.0104166666666666,Financials
CHRW,0.0094395410569054,0.0104166666666666,Industrials
CMI,0.0094395410569054,0.0104166666666666,Industrials
CSCO,0.0094395410569054,0.0104166666666666,Information Technology
CSX,0.0094395410569054,0.0104166666666666,Industrials
D,0.0094395410569054,0.0104166666666666,Utilities
DAL,0.0094395410569054,0.0104166666666666,Industrials
DELL,0.0094395410569054,0.0104166666666666,Information Technology
EA,0.0094395410569054,0.0104166666666666,Communication
EBAY,0.0094395410569054,0.0104166666666666,Consumer Discretionary
EIX,0.0094395410569054,0.0104166666666666,Utilities
EQIX,0.0094395410569054,0.0104166666666666,Real Estate
ETR,0.0094395410569054,0.0104166666666666,Utilities
EVRG,0.0094395410569054,0.0104166666666666,Utilities
EXPD,0.0094395410569054,0.0104166666666666,Industrials
FANG,0.0094395410569054,0.0104166666666666,Energy
FDX,0.0094395410569054,0.0104166666666666,Industrials
FRT,0.0094395410569054,0.0104166666666666,Real Estate
FSLR,0.0094395410569054,0.0104166666666666,Information Technology
GD,0.0094395410569054,0.0104166666666666,Industrials
GEV,0.0094395410569054,0.0104166666666666,Industrials
GLW,0.0094395410569054,0.0104166666666666,Information Technology
GM,0.0094395410569054,0.0104166666666666,Consumer Discretionary
GNRC,0.0094395410569054,0.0104166666666666,Industrials
GOOG,0.0094395410569054,0.0104166666666666,Communication
GOOGL,0.0094395410569054,0.0104166666666666,Communication
GS,0.0094395410569054,0.0104166666666666,Financials
HAL,0.0094395410569054,0.0104166666666666,Energy
HLT,0.0094395410569054,0.0104166666666666,Consumer Discretionary
HPE,0.0094395410569054,0.0104166666666666,Information Technology
HST,0.0094395410569054,0.0104166666666666,Real Estate
INCY,0.0094395410569054,0.0104166666666666,Health Care
INTC,0.0094395410569054,0.0104166666666666,Information Technology
IVZ,0.0094395410569054,0.0104166666666666,Financials
JBHT,0.0094395410569054,0.0104166666666666,Industrials
JBL,0.0094395410569054,0.0104166666666666,Information Technology
JNJ,0.0094395410569054,0.0104166666666666,Health Care
KEYS,0.0094395410569054,0.0104166666666666,Information Technology
KLAC,0.0094395410569054,0.0104166666666666,Information Technology
LNT,0.0094395410569054,0.0104166666666666,Utilities
LRCX,0.0094395410569054,0.0104166666666666,Information Technology
MAR,0.0094395410569054,0.0104166666666666,Consumer Discretionary
MNST,0.0094395410569054,0.0104166666666666,Consumer Staples
MPC,0.0094395410569054,0.0104166666666666,Energy
MPWR,0.0094395410569054,0.0104166666666666,Information Technology
MRK,0.0094395410569054,0.0104166666666666,Health Care
MS,0.0094395410569054,0.0104166666666666,Financials
MU,0.0094395410569054,0.0104166666666666,Information Technology
NDSN,0.0094395410569054,0.0104166666666666,Industrials
NEE,0.0094395410569054,0.0104166666666666,Utilities
NEM,0.0094395410569054,0.0104166666666666,Materials
NUE,0.0094395410569054,0.0104166666666666,Materials
ON,0.0094395410569054,0.0104166666666666,Information Technology
PFG,0.0094395410569054,0.0104166666666666,Financials
PLD,0.0094395410569054,0.0104166666666666,Real Estate
PNW,0.0094395410569054,0.0104166666666666,Utilities
PSX,0.0094395410569054,0.0104166666666666,Energy
PWR,0.0094395410569054,0.0104166666666666,Industrials
ROK,0.0094395410569054,0.0104166666666666,Industrials
ROST,0.0094395410569054,0.0104166666666666,Consumer Discretionary
SLB,0.0094395410569054,0.0104166666666666,Energy
SNA,0.0094395410569054,0.0104166666666666,Industrials
SPG,0.0094395410569054,0.0104166666666666,Real Estate
STLD,0.0094395410569054,0.0104166666666666,Materials
STT,0.0094395410569054,0.0104166666666666,Financials
STX,0.0094395410569054,0.0104166666666666,Information Technology
TER,0.0094395410569054,0.0104166666666666,Information Technology
TGT,0.0094395410569054,0.0104166666666666,Consumer Staples
TJX,0.0094395410569054,0.0104166666666666,Consumer Discretionary
TPR,0.0094395410569054,0.0104166666666666,Consumer Discretionary
TRGP,0.0094395410569054,0.0104166666666666,Energy
VLO,0.0094395410569054,0.0104166666666666,Energy
VTR,0.0094395410569054,0.0104166666666666,Real Estate
VTRS,0.0094395410569054,0.0104166666666666,Health Care
WBD,0.0094395410569054,0.0104166666666666,Communication
WDC,0.0094395410569054,0.0104166666666666,Information Technology
WELL,0.0094395410569054,0.0104166666666666,Real Estate
WST,0.0094395410569054,0.0104166666666666,Health Care
