asset,periods_held,total_contribution,mean_per_period,sharpe
MU,582,0.006085238934142256,1.0455737000244427e-05,2.1114306859831498
WDC,589,0.005779292030301401,9.812040798474366e-06,2.123413375883239
STX,640,0.005482795280089428,8.566867625139731e-06,2.1318436391089377
HWM,681,0.00417959223211557,6.1374335273356386e-06,2.2411137664818646
INTC,382,0.00408108281331528,1.0683462862081887e-05,2.034676150940601
GLW,546,0.003873164532540315,7.093707935055522e-06,1.9252526628812816
KLAC,625,0.0033940827735995734,5.430532437759317e-06,1.4301946171429285
NVDA,440,0.0033819645904779585,7.68628316017718e-06,2.3122330055299014
DELL,180,0.003344350651375008,1.8579725840972267e-05,3.1070831622341695
LRCX,450,0.003212470027559871,7.1388222834663795e-06,1.7892083417293452
AMD,505,0.003151645964489749,6.240883097999503e-06,1.3827946669537146
RCL,674,0.003098214239329455,4.5967570316460755e-06,1.3372053729763869
CAT,610,0.003011049372020661,4.93614651150928e-06,1.9855286254798818
PWR,656,0.002961533340138808,4.5145325306994025e-06,1.5138078507565942
RL,680,0.0029334889456008005,4.313954331765883e-06,1.4747411636415486
NRG,651,0.002893728907047116,4.4450520845577825e-06,1.1978442206850692
AMAT,491,0.0028842595071298842,5.874255615335813e-06,1.613629311325353
ANET,447,0.0028809146025067615,6.444999110753381e-06,1.7538300214683207
TPR,542,0.0028263845422956723,5.214731627851794e-06,1.565006857568224
GE,681,0.002760918480884821,4.054212159889605e-06,1.4646753009917401
GEV,316,0.0026305414911270337,8.324498389642512e-06,2.003759552629563
TER,480,0.0025664525812118845,5.346776210858093e-06,1.100775892396207
AVGO,450,0.0025309600654795997,5.624355701065777e-06,1.4988945447394562
APH,446,0.00249513255352928,5.5944676088100445e-06,2.053714963819557
CEG,645,0.002368635839532206,3.6723036271817145e-06,0.8220647782009913
EXPE,657,0.0023627901892875206,3.5963320993721777e-06,0.9560730709098149
WBD,386,0.002347919992658927,6.0826942814998106e-06,1.4564324025128987
GS,627,0.002309150856977791,3.6828562312245472e-06,1.5526462450092018
MPWR,477,0.002294676812098207,4.810643211945927e-06,1.1304464553534714
JBL,390,0.002294002081897544,5.882056620250113e-06,1.7350529356891982
NEM,499,0.002276749528178021,4.562624304965974e-06,1.3195580514397673
BK,628,0.002247500389531916,3.5788222763247074e-06,2.081510391447489
DVA,486,0.002164652122127076,4.4540167121956296e-06,1.5903603075817438
AXON,442,0.0021518906700797565,4.8685309277822545e-06,1.1240661226271589
CCL,632,0.002136746191714044,3.38092751853488e-06,0.8920757938126399
C,612,0.0021298385291816276,3.4801283156562543e-06,1.4364006351285175
KEYS,460,0.002104270047034994,4.574500102249987e-06,1.5219770661771959
GOOGL,619,0.002075544139630042,3.353059999402329e-06,1.389103523367593
CMI,588,0.0020701228674856543,3.5206171215742417e-06,1.3744583311394667
GOOG,618,0.0020692449199655274,3.3482927507532807e-06,1.4021976304458472
MS,574,0.0020609228333594663,3.5904578978387916e-06,1.5233057156359027
STLD,510,0.0020428419287628697,4.00557240933896e-06,1.4853774420314712
CAH,680,0.0020398958406119515,2.9998468244293403e-06,1.4472937320345627
WELL,681,0.0020320224693780482,2.9838802780881767e-06,1.759479704116082
PH,678,0.002013119586614945,2.969202930110538e-06,1.2941366598735342
TT,668,0.00201309599288757,3.0136167558197154e-06,1.340032989642561
UAL,476,0.0019967795300469488,4.194914979090228e-06,0.9436189795319185
URI,622,0.0019953238995553116,3.207916237227189e-06,1.0259392076902125
EBAY,587,0.0019854841158468564,3.3824260917322938e-06,1.2868217705381824
JPM,681,0.001980733856374332,2.90856660260548e-06,1.5257641968498772
ADI,597,0.001966992359495734,3.2947945720196545e-06,1.100653451635457
HPE,543,0.0019415352617952195,3.575571384521583e-06,0.9538961588293287
NFLX,557,0.0019257348014245922,3.4573335752685677e-06,1.3683076866228285
META,625,0.0019105647747864583,3.056903639658333e-06,1.0417520143802392
FFIV,605,0.001898199241500613,3.1375194074390297e-06,1.3167294971137742
JCI,567,0.0018846396753326796,3.3238794979412337e-06,1.3954636146976271
GNRC,483,0.0018605546182386434,3.852079954945432e-06,0.9826715253826341
TRGP,589,0.0018391886975124973,3.122561455878603e-06,1.3144340391273563
STT,546,0.0018331331123564365,3.357386652667466e-06,1.6037528957975438
WAB,647,0.0018174169609925985,2.8089906661400285e-06,1.3889891425889058
HLT,679,0.0017932949734427279,2.641082435114474e-06,1.4391284368531014
MCHP,361,0.0016815587646636836,4.658057519843999e-06,1.3333360380624928
LYV,639,0.001651636655020463,2.584720899875529e-06,1.0593441009426552
GRMN,603,0.0016450670722111445,2.728137764860936e-06,0.9894503509787884
GM,565,0.0016381725069919398,2.8994203663574154e-06,1.0303331551348545
WMB,672,0.0016011205067343608,2.382619801688037e-06,1.2762455649587223
SYF,632,0.0015996405414113774,2.53107680603066e-06,0.8824229410071988
ISRG,518,0.0015932969827344723,3.0758629010318e-06,1.2936064628475406
AMZN,645,0.00158771671261582,2.4615762986291783e-06,1.0037737123668895
NTRS,559,0.0015825875829954923,2.831104799634154e-06,1.298299820555817
ETN,586,0.0015203425561901348,2.5944412221674655e-06,0.9875364819887172
CSCO,526,0.0014975255533727944,2.8470067554615864e-06,1.2933413411987593
AXP,654,0.0014929905136705725,2.2828601126461353e-06,1.0161659848189009
IRM,532,0.0014929829140937424,2.8063588610784633e-06,1.152289688196437
BSX,572,0.0014920084991016133,2.6084064669608626e-06,1.5917316792494507
CFG,573,0.001471458481809963,2.567990369650895e-06,1.0351549359500698
RTX,552,0.0014572514340528372,2.6399482500957196e-06,1.3235892401072857
