,XS (Monthly),TS (Monthly)
CAGR,0.058063313862808386,0.047051979002537214
Ann.Return,0.06758737459328101,0.05007466528570699
Ann.Vol,0.1476025236738201,0.08948221728958321
Sharpe,0.4579012127369799,0.5596046544494409
Sortino,0.593627624046313,0.7279337826190356
Calmar,0.12260066539617516,0.26163735235123803
MaxDrawdown,-0.4735970532882591,-0.17983662722351568
WinRate,0.5782608695652174,0.5782608695652174
ProfitFactor,1.4198898568454175,1.5603279284713605
AvgWin,0.03293667836956877,0.020094935497103908
AvgLoss,-0.036295924040565815,-0.020151317683985513
Skewness,-0.6268211965960657,-0.4852146525638644
Kurtosis,1.3933230063451454,1.6605708630333966
Months,230.0,230.0
AvgLeverage,0.8915986710596757,0.5623431625055946
AnnTurnover,2.9427897314756466,0.9336510276604162
AnnTCost,0.010754885715023442,0.003310855459108443
