,XS (Weekly),TS (Weekly)
CAGR,0.14730461841300513,0.06835189429119715
Ann.Return,0.14349254325264127,0.0681831055333128
Ann.Vol,0.10893293486158623,0.06375456683814783
Sharpe,1.317255827495767,1.0694622976014816
Sortino,1.6413281696501487,1.2813675330953587
Calmar,1.108407132468277,0.787809375121451
MaxDrawdown,-0.13289757355221732,-0.08676197116930706
WinRate,0.4574468085106383,0.44680851063829785
ProfitFactor,1.7427312234079833,1.5640866015696717
AvgWin,0.014154160575081608,0.008137050459536959
AvgLoss,-0.01396954152318015,-0.008403924765900376
Skewness,-0.12574807066791663,-0.3965547248026339
Kurtosis,1.6128316076881468,2.0309254462106363
Months,188.0,188.0
AvgLeverage,0.6976411891722244,0.44479183462725286
AnnTurnover,4.583448506093655,1.5160286750470053
AnnTCost,0.01575389971638004,0.005187434384218933
