period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,-0.17644155242667237
2008-01-31,-0.1369837968984834
2008-02-29,-0.12019045906265458
2008-03-31,-0.11849740176744983
2008-04-30,-0.10659932488201929
2008-05-31,-0.007131346507496583
2008-06-30,-0.0527111320607796
2008-07-31,-0.11006841986534888
2008-08-31,-0.11161450190038857
2008-09-30,-0.05448086151853526
2008-10-31,-0.018479859758085637
2008-11-30,-0.07742276194699471
2008-12-31,-0.09241910672799158
2009-01-31,-0.05677541723506563
2009-02-28,-0.11842339292663018
2009-03-31,-0.2937833594749232
2009-04-30,-0.31689782006287603
2009-05-31,-0.3204045481675728
2009-06-30,-0.3208052527683798
2009-07-31,-0.32569258404188883
2009-08-31,-0.34226862234099553
2009-09-30,-0.3441138643884698
2009-10-31,-0.35290961928228015
2009-11-30,-0.3278793380472341
2009-12-31,-0.3878311470837661
2010-01-31,-0.3625168467632801
2010-02-28,-0.3493651662060052
2010-03-31,-0.3430793803818287
2010-04-30,-0.334717179052888
2010-05-31,-0.36529758048397876
2010-06-30,-0.3691290083074581
2010-07-31,-0.3712279083536958
2010-08-31,-0.38602766239599273
2010-09-30,-0.3724491126977989
2010-10-31,-0.36607001967248154
2010-11-30,-0.4356544536190262
2010-12-31,-0.4728654227491593
2011-01-31,-0.4652258954752029
2011-02-28,-0.4552746818132447
2011-03-31,-0.468862223632747
2011-04-30,-0.4609140842770111
2011-05-31,-0.4326664519606944
2011-06-30,-0.42759963935186207
2011-07-31,-0.37688700771135086
2011-08-31,-0.37187548577893303
2011-09-30,-0.41438989336979104
2011-10-31,-0.39639689204418793
2011-11-30,-0.37636056498270587
2011-12-31,-0.49933228190707346
2012-01-31,-0.5217243619882215
2012-02-29,-0.5092187204816715
2012-03-31,-0.48498150287330544
2012-04-30,-0.43613016754948775
2012-05-31,-0.44718770209827075
2012-06-30,-0.4226072713401502
2012-07-31,-0.44645053109272403
2012-08-31,-0.4557091270830872
2012-09-30,-0.45653813451344893
2012-10-31,-0.44745752759204216
2012-11-30,-0.4780653846410743
2012-12-31,-0.49715065650847357
2013-01-31,-0.4726279006694245
2013-02-28,-0.4609606054027102
2013-03-31,-0.4626522387126579
2013-04-30,-0.49828799173143534
2013-05-31,-0.5103130227502151
2013-06-30,-0.4910391070690794
2013-07-31,-0.4984123070507943
2013-08-31,-0.4773678907345933
2013-09-30,-0.4798922752502779
2013-10-31,-0.43705761274053956
2013-11-30,-0.43613141869693095
2013-12-31,-0.46649745548237187
2014-01-31,-0.44466849836276545
2014-02-28,-0.47505092434820184
2014-03-31,-0.5417921811897517
2014-04-30,-0.5195487476632138
2014-05-31,-0.5199729027770341
2014-06-30,-0.5376595776777302
2014-07-31,-0.5396409048257529
2014-08-31,-0.519253028681901
2014-09-30,-0.5295104598005334
2014-10-31,-0.5020211196835572
2014-11-30,-0.5003860973389131
2014-12-31,-0.41641839178367857
2015-01-31,-0.45076832094615127
2015-02-28,-0.43379949534003326
2015-03-31,-0.4995813972984001
2015-04-30,-0.4662978925716238
2015-05-31,-0.45680479890402226
2015-06-30,-0.4246937387758819
