variant,aum,net_sharpe,net_cagr,ann_tcost
monthly 20%,10000000.0,-0.0003176861271186105,-0.02043109294623413,0.036518251650432675
monthly 20%,30000000.0,-0.005248890524754546,-0.021410882934270292,0.03751447700598356
monthly 20%,100000000.0,-0.014878581266638217,-0.02332182753611156,0.03945987740505229
monthly 20%,300000000.0,-0.030347038233993484,-0.02638612972476162,0.042585011085662754
monthly 20%,1000000000.0,-0.0578596074333083,-0.0318162217020862,0.04814473586589925
monthly 20%,3000000000.0,-0.08978824160835058,-0.03806968165171931,0.05459487821139358
monthly 20%,10000000000.0,-0.12322144817651798,-0.04457149674652516,0.061346299557770045
monthly 20%,30000000000.0,-0.14802625687597476,-0.049355146319142174,0.0663484330964555
monthly 20%,100000000000.0,-0.1636529878286872,-0.05234768504469922,0.06949451296289813
monthly 50%,10000000.0,-0.008408634148760051,-0.01919343784605132,0.037351496002754336
monthly 50%,30000000.0,-0.013957522322861637,-0.020228030773603578,0.0383970182980636
monthly 50%,100000000.0,-0.024792025701853012,-0.02224666168503886,0.0404395619696548
monthly 50%,300000000.0,-0.042186050208215864,-0.025481725210143247,0.04372163129753873
monthly 50%,1000000000.0,-0.07281378517123298,-0.031153892515725645,0.049507211478204124
monthly 50%,3000000000.0,-0.10699713945389194,-0.037441903452478664,0.05596915585832343
monthly 50%,10000000000.0,-0.14379851703535243,-0.04414840582825408,0.06292123403529912
monthly 50%,30000000000.0,-0.17199156633756527,-0.04922683307813103,0.06823287110822229
monthly 50%,100000000000.0,-0.1912629493704115,-0.0526608386981845,0.07185042221208714
weekly 20%,10000000.0,0.251534961383054,0.030391369367976928,0.061224853586649974
weekly 20%,30000000.0,0.2481741200750878,0.029722281580879084,0.06187004738217357
weekly 20%,100000000.0,0.24160979009169864,0.028416253249120338,0.06313057941348567
weekly 20%,300000000.0,0.23099004000822512,0.02630565255439099,0.06517086133954919
weekly 20%,1000000000.0,0.21026084273269152,0.0221939364790964,0.06915701362209409
weekly 20%,3000000000.0,0.17680945653772487,0.015580876831793988,0.07560023451130089
weekly 20%,10000000000.0,0.11410006075037663,0.0032613242221812833,0.08772316944583086
weekly 20%,30000000000.0,0.04276572657250838,-0.010594976415699398,0.10157756902275633
weekly 20%,100000000000.0,-0.015155870350021769,-0.02170287727677367,0.11284657868057282
weekly 50%,10000000.0,0.3949909614879748,0.05488896036043123,0.05902838933199834
weekly 50%,30000000.0,0.39173350524759637,0.05429656515728576,0.05958952374225116
weekly 50%,100000000.0,0.3853696236790018,0.05314010802305602,0.06068582674904166
weekly 50%,300000000.0,0.37506998680313985,0.051270859469348284,0.062460289558935955
weekly 50%,1000000000.0,0.3549506316522085,0.04762804091117179,0.06592710406608498
weekly 50%,3000000000.0,0.32239609648508943,0.041757474874187794,0.07153844586618271
weekly 50%,10000000000.0,0.2600437937796439,0.030592695903223888,0.08229695448867005
weekly 50%,30000000000.0,0.18906377058624807,0.01800998713330504,0.0945618671715128
weekly 50%,100000000000.0,0.13076397456991093,0.00777755182584583,0.10465011175786845
