variant,target_vol,gross_lev_mean,gross_lev_max,real_vol,net_sharpe
monthly 20%,0.05,0.7172965215361526,6.0,0.06427966697600773,0.1033893814480376
monthly 20%,0.1,1.4086190170982793,6.0,0.10713292494948294,0.03656126330428122
monthly 20%,0.15,2.099941512660406,6.0,0.15406791576930515,0.005116286775540092
monthly 20%,0.2,2.7904077962203155,6.0,0.20202240987925776,-0.014878581266638217
monthly 20%,0.25,3.4265396921979963,6.0,0.24673560601538905,-0.035041767170089555
monthly 20%,0.3,3.9741696373881417,6.0,0.2865335288585301,-0.05101998963930742
monthly 50%,0.05,1.1783988571255153,6.0,0.05335292852489567,0.05413338481150348
monthly 50%,0.1,2.330823688277005,6.0,0.10374020368399677,0.021762949254364967
monthly 50%,0.15,3.439547206846099,6.000000000000002,0.15223086933288485,-0.0062337239766536295
monthly 50%,0.2,4.278247442092703,6.000000000000002,0.18843637379985811,-0.024792025701853012
monthly 50%,0.25,4.865554641744483,6.000000000000002,0.21689222838790986,-0.016815535666332385
monthly 50%,0.3,5.2116089475405465,6.000000000000002,0.23609593101432713,-0.018906641784316225
weekly 20%,0.05,0.6457937164400769,6.0,0.06137816198725638,-0.15438444324473624
weekly 20%,0.1,1.259841401134122,6.0,0.1085401356922456,0.011603083753343684
weekly 20%,0.15,1.839567508763167,6.0,0.15181514107315616,0.14132179620974233
weekly 20%,0.2,2.4104286360228473,6.0,0.19356343041101787,0.24160979009169864
weekly 20%,0.25,2.976800125457331,6.0,0.23561509826519705,0.3180381891247998
weekly 20%,0.3,3.480981309241605,6.0,0.27330400437830477,0.3528985012900706
weekly 50%,0.05,1.0826267883934584,6.0,0.057624246078109856,-0.0941878523070907
weekly 50%,0.1,2.056374152723584,6.0,0.09933137971153302,0.151946404886034
weekly 50%,0.15,3.0210638331389217,6.0,0.14006233115065972,0.2926284124110128
weekly 50%,0.2,3.7493581394539808,6.0,0.17287058801156174,0.3853696236790018
weekly 50%,0.25,4.166359637537091,6.000000000000001,0.19421440374074664,0.47399119332246065
weekly 50%,0.3,4.306722602566597,6.000000000000001,0.20098700411549886,0.5017053195022438
