period,monthly,weekly
2006-10-31,0.0,
2006-11-30,0.0,
2006-12-31,0.0,
2007-01-31,0.0,
2007-02-28,0.0,
2007-03-31,0.0,
2007-04-30,0.0,
2007-05-31,0.0,
2007-06-30,0.0,
2007-07-31,0.0,
2007-08-31,0.0,
2007-09-30,0.0,
2007-10-31,6.0,
2007-11-30,3.113914657568558,
2007-12-31,3.096435929328934,
2008-01-31,1.1312672075909933,
2008-02-29,1.0289943650430091,
2008-03-31,1.073073263147978,
2008-04-30,2.033877753153297,
2008-05-31,2.227688927866984,
2008-06-30,1.9950164534430685,
2008-07-31,1.576485647888079,
2008-08-31,1.2269063014673038,
2008-09-30,1.9211542074607793,
2008-10-31,1.6044821658560584,
2008-11-30,2.0106356422604006,
2008-12-31,1.694732139477492,
2009-01-31,2.067138157577334,
2009-02-28,2.171158927692134,
2009-03-31,2.0957506911031154,
2009-04-30,1.0122847006018434,
2009-05-31,1.4398045236999824,
2009-06-30,1.2110594868136206,
2009-07-31,1.6662217266118162,
2009-08-31,1.8073484483671804,
2009-09-30,1.9709615660210447,
2009-10-31,2.125284416401917,
2009-11-30,2.3128441085936817,
2009-12-31,2.3057049176993436,
2010-01-31,2.068471870475852,
2010-02-28,1.7456808030438817,
2010-03-31,1.8074645742214497,
2010-04-30,2.4427779263420324,
2010-05-31,2.6446555006323593,
2010-06-30,2.749021258424393,
2010-07-31,2.997317297189306,
2010-08-31,3.265659957619639,
2010-09-30,3.5399902322328423,
2010-10-31,3.7510472722407906,
2010-11-30,4.066245089784701,
2010-12-31,3.1678627659845664,
2011-01-31,3.5992085566398258,
2011-02-28,3.578442544927306,
2011-03-31,3.937290444536407,
2011-04-30,4.28241011900133,
2011-05-31,4.539411539283499,
2011-06-30,4.466309328138423,
2011-07-31,4.851406177879321,
2011-08-31,4.430812956980217,
2011-09-30,4.831044672909673,
2011-10-31,3.607904343189645,
2011-11-30,4.763868137487013,
2011-12-31,4.524508949661876,
2012-01-31,1.9184992913154326,
2012-02-29,2.26906765312623,
2012-03-31,2.0885389410251314,
2012-04-30,2.614668457190599,
2012-05-31,2.4632583671003996,
2012-06-30,2.527185951530397,
2012-07-31,2.593088180092222,
2012-08-31,2.7533236826368968,
2012-09-30,2.958262369474675,
2012-10-31,3.224176422151472,
2012-11-30,3.4982060972232887,
2012-12-31,3.494281963057334,
2013-01-31,3.7139936046609594,
2013-02-28,3.7259376022807333,
2013-03-31,4.008499406065844,
2013-04-30,4.366350641121368,
2013-05-31,4.253308847014909,
2013-06-30,4.612842366788989,
2013-07-31,4.706450803033703,
2013-08-31,5.118478509832012,
2013-09-30,5.287208784065694,
2013-10-31,5.758547010244581,
2013-11-30,5.436011366376261,
2013-12-31,5.907204877549185,
2014-01-31,4.938880142929989,
2014-02-28,5.990785288506523,
2014-03-31,5.714140163950436,
2014-04-30,3.7418643323266605,
2014-05-31,3.121438135338049,
2014-06-30,3.1303342944731147,
2014-07-31,4.424654098642007,
2014-08-31,5.282945674614233,
2014-09-30,5.336444007434823,
2014-10-31,5.765312835928515,
2014-11-30,5.683418465073542,
2014-12-31,6.0,
2015-01-31,4.200338324164015,
2015-02-28,2.729548987452408,
2015-03-31,2.7384059802057505,
2015-04-30,2.102509485124201,
2015-05-31,1.4949315532407685,
2015-06-30,1.4972249257708374,
2015-07-31,2.340988439849205,
2015-08-31,2.536391137665637,
