period,monthly,weekly
2015-09-30,2.5671218293453446,
2015-10-31,2.53695432506935,
2015-11-30,2.6232345663350642,
2015-12-31,2.9397826377503513,
2016-01-31,3.1772913068712896,
2016-02-29,3.166932674708124,
2016-03-31,2.865231781037572,
2016-04-30,2.8961863925941067,
2016-05-31,2.7838790090395937,
2016-06-30,2.3806475669880953,
2016-07-31,2.1799676065625286,
2016-08-31,1.88644423858401,
2016-09-30,2.806308546811309,
2016-10-31,3.03928747226319,
2016-11-30,2.8586849582116405,
2016-12-31,3.065698283398328,
2017-07-31,3.2791334264756333,
2017-08-31,3.3389500829383425,
2017-09-30,3.464992083885448,
2017-10-31,2.8061559218369583,
2017-11-30,2.3123831189946342,
2017-12-31,2.1572883668014136,
2018-01-31,2.928918209531716,
2018-02-28,3.086788239763769,
2018-03-31,3.24343055800522,
2018-04-30,3.426548625570331,
2018-05-31,3.5573689202019017,
2018-06-30,2.824956269360941,
2018-07-31,2.5646594760509975,
2018-08-31,2.4536076803184717,
2018-09-30,3.5917256888461337,
2018-10-31,3.7246689218717552,
2018-11-30,3.965674606178885,
2018-12-31,4.093621415711308,
2019-01-31,2.753352330362199,
2019-02-28,2.476528827757227,
2019-03-31,2.3464012314644522,
2019-04-30,3.5162158006699062,
2019-05-31,1.782281044293617,
2019-06-30,1.4557098396294343,
2019-07-31,1.564526281447837,
2019-08-31,1.3985176145345612,
2019-09-30,1.2453855073198357,
2019-10-31,1.2011752934869189,
2019-11-30,1.9447856233584573,
2019-12-31,2.0709017398000635,
2020-01-31,1.5773407662463355,
2020-02-29,1.9184918788094831,
2020-03-31,1.463276690005808,
2020-04-30,0.8823819019706136,
2020-05-31,0.8813634885316286,
2020-06-30,1.4943425621150281,
2020-07-31,1.574707590250918,
2020-08-31,1.7011307406607714,
2020-09-30,1.8526086608004717,
2020-10-31,1.9524748657210558,
2020-11-30,1.5123066181015576,
2020-12-31,1.6469356277547045,
2021-01-31,1.7611344623630192,
2021-02-28,1.9002121667860385,
2021-03-31,2.07087146648586,
2021-04-30,2.166332872521308,
2021-05-31,2.219221706082402,
2021-06-30,2.3917235207408982,
2021-07-31,2.594307254900798,
2021-08-31,2.3760828598208232,
2021-09-30,2.5906470040048815,
2021-10-31,2.573665003801573,
2021-11-30,2.778091339435742,
2021-12-31,2.822742243480172,
2022-01-31,2.7877339071431235,
2022-02-28,3.024694964536003,
2022-03-31,2.44933634369524,
2022-04-30,3.115006321140933,
2022-05-31,3.247035227115343,
2022-06-30,3.319823147942954,
2022-07-31,2.126771895069555,
2022-08-31,1.8198969224223926,
2022-09-30,1.8575942527077698,
2022-10-31,3.0021280261746335,
2022-11-11,,0.0
2022-11-18,,0.0
2022-11-25,,0.0
2022-11-30,3.050956511807592,
2022-12-02,,0.0
2022-12-09,,0.0
2022-12-16,,0.0
2022-12-23,,0.0
2022-12-30,,0.0
2022-12-31,3.3154553751606124,
2023-01-06,,0.0
2023-01-13,,0.0
2023-01-20,,0.0
2023-01-27,,0.0
2023-01-31,2.445672870870448,
2023-02-03,,0.0
2023-02-10,,0.0
2023-02-17,,0.0
2023-02-24,,0.0
2023-02-28,2.1460904001701513,
2023-03-03,,0.0
2023-03-10,,0.0
2023-03-17,,0.0
2023-03-24,,0.0
2023-03-31,1.7473075921470782,0.0
2023-04-07,,0.0
2023-04-14,,0.0
2023-04-21,,0.0
2023-04-28,,0.0
2023-04-30,2.8423730755555168,
2023-05-05,,0.0
2023-05-12,,0.0
2023-05-19,,0.0
2023-05-26,,0.0
2023-05-31,2.9970098178445843,
2023-06-02,,0.0
2023-06-09,,0.0
2023-06-16,,0.0
2023-06-23,,0.0
2023-06-30,3.2680644327496724,0.0
2023-07-07,,0.0
2023-07-14,,0.0
2023-07-21,,0.0
2023-07-28,,0.0
2023-07-31,3.1214689042650985,
2023-08-04,,0.0
2023-08-11,,0.0
2023-08-18,,0.0
2023-08-25,,0.0
2023-08-31,3.215782045081897,
2023-09-01,,0.0
2023-09-08,,0.0
2023-09-15,,0.0
2023-09-22,,0.0
2023-09-29,,0.0
2023-09-30,3.1137390786581403,
2023-10-06,,0.0
2023-10-13,,0.0
2023-10-20,,0.0
2023-10-27,,0.0
2023-10-31,3.784518692246749,
2023-11-03,,0.0
2023-11-10,,6.0
2023-11-17,,6.0
2023-11-24,,6.0
2023-11-30,3.989144283196741,
2023-12-01,,6.0
2023-12-08,,5.478833239169676
2023-12-15,,4.782045857151992
2023-12-22,,4.241480486830246
2023-12-29,,4.267930341436544
2023-12-31,3.1718201213703154,
2024-01-05,,4.160628869752989
2024-01-12,,3.191837702908913
2024-01-19,,2.6905493117864787
2024-01-26,,2.6073498504446406
2024-01-31,2.080973308907248,
2024-02-02,,2.607149396005343
2024-02-09,,2.405783671856759
2024-02-16,,2.4707727650326587
2024-02-23,,2.428203017230487
2024-02-29,1.881326731398877,
2024-03-01,,2.465492418828502
2024-03-08,,2.8650790429710256
2024-03-15,,3.2192247908262597
2024-03-22,,3.2366048876355626
2024-03-29,,3.085346806905774
2024-03-31,2.730450499630212,
2024-04-05,,3.375927217162736
2024-04-12,,3.7242485030969616
2024-04-19,,4.098325190139416
2024-04-26,,4.152231488288802
2024-04-30,2.6033984744625185,
2024-05-03,,4.1116990624012795
2024-05-10,,4.113752551018431
2024-05-17,,4.15595633384058
2024-05-24,,3.965483006717275
2024-05-31,3.2524931219457085,4.038330669476139
2024-06-07,,3.9372519130807015
2024-06-14,,3.641847875648695
2024-06-21,,3.5544705328123865
2024-06-28,,3.616537691404181
2024-06-30,3.534578534764127,
2024-07-05,,3.5932971031923344
2024-07-12,,3.467610507220466
2024-07-19,,3.1285951694960437
2024-07-26,,3.118156510074135
2024-07-31,3.185477348143123,
2024-08-02,,3.101001959551988
2024-08-09,,3.1258539234664537
2024-08-16,,3.0960576587304685
2024-08-23,,3.371043231746029
2024-08-30,,3.3601881168322705
2024-08-31,2.7818575431149704,
2024-09-06,,3.549995233110271
2024-09-13,,3.9251422758079686
2024-09-20,,3.9136554142949795
2024-09-27,,3.99564436114977
2024-09-30,2.8857932240143764,
2024-10-04,,4.078160806122307
2024-10-11,,4.149598479566496
2024-10-18,,4.054888820241476
2024-10-25,,4.121075488606561
2024-10-31,3.4160483934790333,
2024-11-01,,4.1967016821255685
2024-11-08,,4.273630810115984
2024-11-15,,4.350589629510102
2024-11-22,,4.335258537851961
2024-11-29,,4.406183202443751
2024-11-30,3.7067946510813656,
2024-12-06,,4.488544711204202
2024-12-13,,4.195555515498224
2024-12-20,,4.168070945004346
2024-12-27,,4.2494374509742245
2024-12-31,3.926958289386352,
2025-01-03,,4.325457981804952
2025-01-10,,4.3835243424589745
2025-01-17,,4.443448064955325
2025-01-24,,4.522801021672911
2025-01-31,4.188490192124441,4.583653049696441
2025-02-07,,4.039572614515972
2025-02-14,,3.918299950915972
2025-02-21,,3.6122778407603104
2025-02-28,4.566267035122362,3.6129847453739847
2025-03-07,,2.9925949831347842
2025-03-14,,3.1451423694142084
2025-03-21,,3.181250921157898
2025-03-28,,3.1568910789842106
2025-03-31,3.3290628705767795,
2025-04-04,,2.8574670164429374
2025-04-11,,2.852607319619593
2025-04-18,,2.863578298639313
2025-04-25,,2.6873100249383293
2025-04-30,3.123647448045885,
2025-05-02,,2.673132618731769
2025-05-09,,3.024005523302307
2025-05-16,,2.8653527414117574
2025-05-23,,2.7284318909246217
2025-05-30,,2.729050254526352
2025-05-31,3.2142951052212805,
2025-06-06,,3.1612021531390644
2025-06-13,,2.617180077619599
2025-06-20,,2.6371110788182914
2025-06-27,,2.657124935471934
2025-06-30,3.257929080303921,
2025-07-04,,2.957012426643341
2025-07-11,,3.0072389604221605
2025-07-18,,2.7820360715035877
2025-07-25,,2.8693474425597767
2025-07-31,3.884186992969759,
2025-08-01,,2.510296262613492
2025-08-08,,2.541638358952082
2025-08-15,,2.6082901086122825
2025-08-22,,2.805018545879187
2025-08-29,,2.773648073577211
2025-08-31,4.205425541670226,
2025-09-05,,2.770249280898272
2025-09-12,,3.261074868234426
2025-09-19,,3.25662204463559
2025-09-26,,3.1777664978625473
2025-09-30,3.822638069874036,
2025-10-03,,2.888777262639794
2025-10-10,,3.0476829918410537
2025-10-17,,3.1780217654879266
2025-10-24,,3.213020771112876
2025-10-31,4.262028070651096,2.8689206966466534
2025-11-07,,2.8441657099847073
2025-11-14,,2.878663095189796
2025-11-21,,2.947510050487459
2025-11-28,,2.9464765262728294
2025-11-30,4.64056809796856,
2025-12-05,,2.9534770415742813
2025-12-12,,2.9522885717201746
2025-12-19,,2.9185620963547114
2025-12-26,,2.8992562270911124
2025-12-31,5.057837831408369,
2026-01-02,,3.2098524792104977
2026-01-09,,3.257390504124227
2026-01-16,,3.261286259134348
2026-01-23,,3.3285236261073985
2026-01-30,,3.126269832837255
2026-01-31,2.7060824018238923,
2026-02-06,,2.9726781158733395
2026-02-13,,3.020668892982743
2026-02-20,,3.064421232424049
2026-02-27,,3.1275914321444196
2026-02-28,2.924911942187115,
2026-03-06,,2.5448046906314725
2026-03-13,,2.378555914080166
2026-03-20,,2.431090405640771
2026-03-27,,2.406805028468502
2026-03-31,2.2380061076672195,
2026-04-03,,2.423377618196602
2026-04-10,,2.1251976438176827
2026-04-17,,2.105815431901571
2026-04-24,,2.071127429240039
2026-04-30,1.485024296151749,
2026-05-01,,2.1628140990140468
2026-05-08,,2.3945368047781366
2026-05-15,,2.0521737884679405
2026-05-22,,1.7530654954484812
2026-05-29,,1.754269382776165
2026-05-31,1.5462614773580166,
2026-06-05,,1.9781108265948226
2026-06-12,,1.9961765190072205
2026-06-19,,1.9915820723872928
2026-06-30,2.486278683726242,
