date,ticker,weight
2023-11-17,FMC,-0.125
2023-11-17,GOOG,0.125
2023-11-17,GOOGL,0.125
2023-11-17,HRL,-0.125
2023-11-17,INCY,-0.125
2023-11-17,K,-0.125
2023-11-17,LLY,0.125
2023-11-17,META,0.125
2023-11-17,MNST,-0.125
2023-11-17,MSFT,0.125
2023-11-17,NEE,-0.125
2023-11-17,NOW,0.125
2023-11-17,NVDA,0.125
2023-11-17,O,-0.125
2023-11-17,ORCL,0.125
2023-11-17,PEAK,-0.125
2023-11-17,PFE,-0.125
2023-11-17,PHM,0.125
2023-11-17,PNR,0.125
2023-11-17,SEDG,-0.125
2023-11-17,SNPS,0.125
2023-11-17,SRE,-0.125
2023-11-17,SYY,-0.125
2023-11-17,TDG,0.125
2023-11-17,TECH,-0.125
2023-11-17,TTWO,0.125
2023-11-17,VRSK,0.125
2023-11-17,WBA,-0.125
2023-11-17,WST,0.125
2023-11-24,A,-0.125
2023-11-24,ACGL,0.125
2023-11-24,ADBE,0.125
2023-11-24,AES,-0.125
2023-11-24,AJG,0.125
2023-11-24,AMCR,-0.125
2023-11-24,AVGO,0.125
2023-11-24,BKNG,0.125
2023-11-24,BMY,-0.125
2023-11-24,BRO,0.125
2023-11-24,CAG,-0.125
2023-11-24,CBOE,0.125
2023-11-24,CDNS,0.125
2023-11-24,CHD,0.125
2023-11-24,CME,0.125
2023-11-24,CPRT,-0.125
2023-11-24,CVS,-0.125
2023-11-24,DG,-0.125
2023-11-24,ENPH,-0.125
2023-11-24,ES,-0.125
2023-11-24,FDX,0.125
2023-11-24,FMC,-0.125
2023-11-24,HRL,-0.125
2023-11-24,INCY,-0.125
2023-11-24,K,-0.125
2023-11-24,LLY,0.125
2023-11-24,META,0.125
2023-11-24,MNST,-0.125
2023-11-24,MSFT,0.125
2023-11-24,MTD,-0.125
2023-11-24,NFLX,0.125
2023-11-24,NOW,0.125
2023-11-24,NVDA,0.125
2023-11-24,O,-0.125
2023-11-24,PEAK,-0.125
2023-11-24,PFE,-0.125
2023-11-24,PHM,0.125
2023-11-24,RCL,0.125
2023-11-24,SEDG,-0.125
2023-11-24,SNPS,0.125
2023-11-24,SRE,-0.125
2023-11-24,SYY,-0.125
2023-11-24,TDG,0.125
2023-11-24,TECH,-0.125
2023-11-24,TTWO,0.125
2023-11-24,VRSK,0.125
2023-11-24,WBA,-0.125
2023-11-24,WST,0.125
2023-12-01,A,-0.125
2023-12-01,ACGL,0.125
2023-12-01,ADBE,0.125
2023-12-01,AES,-0.125
2023-12-01,AIZ,0.125
2023-12-01,AJG,0.125
2023-12-01,AMCR,-0.125
2023-12-01,AMZN,0.125
2023-12-01,ANET,0.125
2023-12-01,AVGO,0.125
2023-12-01,BKNG,0.125
2023-12-01,BMY,-0.125
2023-12-01,BRO,0.125
2023-12-01,CAG,-0.125
2023-12-01,CBOE,0.125
2023-12-01,CDNS,0.125
2023-12-01,CME,0.125
2023-12-01,CPRT,-0.125
2023-12-01,CRM,0.125
2023-12-01,DG,-0.125
2023-12-01,EL,-0.125
2023-12-01,ENPH,-0.125
2023-12-01,ES,-0.125
2023-12-01,ETN,0.125
2023-12-01,FDX,0.125
2023-12-01,FMC,-0.125
2023-12-01,HRL,-0.125
2023-12-01,ILMN,-0.125
2023-12-01,INCY,-0.125
2023-12-01,K,-0.125
2023-12-01,LLY,0.125
2023-12-01,META,0.125
2023-12-01,MNST,-0.125
2023-12-01,MSFT,0.125
2023-12-01,MTD,-0.125
2023-12-01,NOW,0.125
2023-12-01,NVDA,0.125
2023-12-01,PEAK,-0.125
2023-12-01,PFE,-0.125
2023-12-01,PHM,0.125
2023-12-01,SEDG,-0.125
2023-12-01,SNPS,0.125
2023-12-01,SRE,-0.125
2023-12-01,SYY,-0.125
2023-12-01,TDG,0.125
2023-12-01,TTWO,0.125
2023-12-01,WAT,-0.125
2023-12-01,WBA,-0.125
2023-12-08,A,-0.10612167591522928
2023-12-08,ACGL,0.10612167591522928
2023-12-08,ADBE,0.10612167591522928
2023-12-08,AJG,0.10612167591522928
2023-12-08,AMCR,-0.10612167591522928
2023-12-08,AMZN,0.10612167591522928
2023-12-08,ANET,0.10612167591522928
2023-12-08,AVGO,0.10612167591522928
2023-12-08,BKNG,0.10612167591522928
2023-12-08,BMY,-0.10612167591522928
2023-12-08,BRO,0.10612167591522928
2023-12-08,CAG,-0.10612167591522928
2023-12-08,CBOE,0.10612167591522928
2023-12-08,CDNS,0.10612167591522928
2023-12-08,CPB,-0.10612167591522928
2023-12-08,CRM,0.10612167591522928
2023-12-08,CVS,-0.10612167591522928
2023-12-08,DG,-0.10612167591522928
2023-12-08,DHI,0.10612167591522928
2023-12-08,EL,-0.10612167591522928
2023-12-08,ENPH,-0.10612167591522928
2023-12-08,ES,-0.10612167591522928
2023-12-08,FDX,0.10612167591522928
2023-12-08,FMC,-0.10612167591522928
2023-12-08,GIS,-0.10612167591522928
2023-12-08,HRL,-0.10612167591522928
2023-12-08,ILMN,-0.10612167591522928
2023-12-08,INCY,-0.10612167591522928
2023-12-08,K,-0.10612167591522928
2023-12-08,LLY,0.10612167591522928
2023-12-08,META,0.10612167591522928
2023-12-08,MNST,-0.10612167591522928
2023-12-08,MSFT,0.10612167591522928
2023-12-08,MTD,-0.10612167591522928
2023-12-08,NOW,0.10612167591522928
2023-12-08,NVDA,0.10612167591522928
2023-12-08,PEAK,-0.10612167591522928
2023-12-08,PFE,-0.10612167591522928
2023-12-08,PHM,0.10612167591522928
2023-12-08,RCL,0.10612167591522928
2023-12-08,SEDG,-0.10612167591522928
2023-12-08,SJM,-0.10612167591522928
2023-12-08,SNPS,0.10612167591522928
2023-12-08,SRE,-0.10612167591522928
2023-12-08,TDG,0.10612167591522928
2023-12-08,TTWO,0.10612167591522928
2023-12-08,VRSK,0.10612167591522928
2023-12-08,WBA,-0.10612167591522928
2023-12-15,AAPL,0.09272029203800898
2023-12-15,ACGL,0.09272029203800898
2023-12-15,ADBE,0.09272029203800898
2023-12-15,AES,-0.09272029203800898
2023-12-15,AJG,0.09272029203800898
2023-12-15,AMCR,-0.09272029203800898
2023-12-15,AVGO,0.09272029203800898
2023-12-15,BKNG,0.09272029203800898
2023-12-15,BMY,-0.09272029203800898
2023-12-15,BRO,0.09272029203800898
2023-12-15,CAG,-0.09272029203800898
2023-12-15,CBOE,0.09272029203800898
2023-12-15,CDNS,0.09272029203800898
2023-12-15,CPB,-0.09272029203800898
2023-12-15,CRM,0.09272029203800898
2023-12-15,CVS,-0.09272029203800898
2023-12-15,DG,-0.09272029203800898
2023-12-15,EL,-0.09272029203800898
2023-12-15,ENPH,-0.09272029203800898
2023-12-15,ES,-0.09272029203800898
2023-12-15,FDX,0.09272029203800898
2023-12-15,FMC,-0.09272029203800898
2023-12-15,GE,0.09272029203800898
2023-12-15,GIS,-0.09272029203800898
2023-12-15,HRL,-0.09272029203800898
2023-12-15,ILMN,-0.09272029203800898
2023-12-15,INCY,-0.09272029203800898
2023-12-15,K,-0.09272029203800898
2023-12-15,LLY,0.09272029203800898
2023-12-15,META,0.09272029203800898
2023-12-15,MNST,-0.09272029203800898
2023-12-15,MRNA,-0.09272029203800898
2023-12-15,MSFT,0.09272029203800898
2023-12-15,NOW,0.09272029203800898
2023-12-15,NVDA,0.09272029203800898
2023-12-15,PEAK,-0.09272029203800898
2023-12-15,PFE,-0.09272029203800898
2023-12-15,PHM,0.09272029203800898
2023-12-15,RCL,0.09272029203800898
2023-12-15,ROP,0.09272029203800898
2023-12-15,SEDG,-0.09272029203800898
2023-12-15,SJM,-0.09272029203800898
2023-12-15,SNPS,0.09272029203800898
2023-12-15,SRE,-0.09272029203800898
2023-12-15,TDG,0.09272029203800898
2023-12-15,TTWO,0.09272029203800898
2023-12-15,VRSK,0.09272029203800898
2023-12-15,WBA,-0.09272029203800898
2023-12-22,AAPL,0.09141551709640168
2023-12-22,ADBE,0.09141551709640168
2023-12-22,AES,-0.09141551709640168
2023-12-22,AJG,0.09141551709640168
2023-12-22,AMCR,-0.09141551709640168
2023-12-22,AMD,0.09141551709640168
2023-12-22,AMZN,0.09141551709640168
2023-12-22,AVGO,0.09141551709640168
2023-12-22,BKNG,0.09141551709640168
2023-12-22,BMY,-0.09141551709640168
2023-12-22,BRO,0.09141551709640168
2023-12-22,CAG,-0.09141551709640168
2023-12-22,CBOE,0.09141551709640168
2023-12-22,CDNS,0.09141551709640168
2023-12-22,CPB,-0.09141551709640168
2023-12-22,CRM,0.09141551709640168
2023-12-22,CVS,-0.09141551709640168
2023-12-22,DG,-0.09141551709640168
2023-12-22,EL,-0.09141551709640168
2023-12-22,ENPH,-0.09141551709640168
2023-12-22,ES,-0.09141551709640168
2023-12-22,FMC,-0.09141551709640168
2023-12-22,GIS,-0.09141551709640168
2023-12-22,HRL,-0.09141551709640168
2023-12-22,ILMN,-0.09141551709640168
2023-12-22,INCY,-0.09141551709640168
2023-12-22,K,-0.09141551709640168
2023-12-22,LLY,0.09141551709640168
2023-12-22,LRCX,0.09141551709640168
2023-12-22,MAR,0.09141551709640168
2023-12-22,META,0.09141551709640168
2023-12-22,MNST,-0.09141551709640168
2023-12-22,MRNA,-0.09141551709640168
2023-12-22,MSFT,0.09141551709640168
2023-12-22,MTD,-0.09141551709640168
2023-12-22,NOW,0.09141551709640168
2023-12-22,NVDA,0.09141551709640168
2023-12-22,PEAK,-0.09141551709640168
2023-12-22,PFE,-0.09141551709640168
2023-12-22,PHM,0.09141551709640168
2023-12-22,RCL,0.09141551709640168
2023-12-22,SJM,-0.09141551709640168
2023-12-22,SNPS,0.09141551709640168
2023-12-22,SRE,-0.09141551709640168
2023-12-22,TDG,0.09141551709640168
2023-12-22,TTWO,0.09141551709640168
2023-12-22,VRSK,0.09141551709640168
2023-12-22,WBA,-0.09141551709640168
2023-12-29,AAPL,0.09043390468214457
2023-12-29,ADBE,0.09043390468214457
2023-12-29,AES,-0.09043390468214457
2023-12-29,AJG,0.09043390468214457
2023-12-29,AMCR,-0.09043390468214457
2023-12-29,AMZN,0.09043390468214457
2023-12-29,AVGO,0.09043390468214457
2023-12-29,BKNG,0.09043390468214457
2023-12-29,BMY,-0.09043390468214457
2023-12-29,CAG,-0.09043390468214457
2023-12-29,CBOE,0.09043390468214457
2023-12-29,CDNS,0.09043390468214457
2023-12-29,CMG,0.09043390468214457
2023-12-29,CPB,-0.09043390468214457
2023-12-29,CRM,0.09043390468214457
2023-12-29,CVS,-0.09043390468214457
2023-12-29,DG,-0.09043390468214457
2023-12-29,EL,-0.09043390468214457
2023-12-29,ENPH,-0.09043390468214457
2023-12-29,ES,-0.09043390468214457
2023-12-29,FDX,0.09043390468214457
2023-12-29,FMC,-0.09043390468214457
2023-12-29,GIS,-0.09043390468214457
2023-12-29,HRL,-0.09043390468214457
2023-12-29,ILMN,-0.09043390468214457
2023-12-29,INCY,-0.09043390468214457
2023-12-29,K,-0.09043390468214457
2023-12-29,LLY,0.09043390468214457
2023-12-29,LRCX,0.09043390468214457
2023-12-29,META,0.09043390468214457
2023-12-29,MNST,-0.09043390468214457
2023-12-29,MRNA,-0.09043390468214457
2023-12-29,MSFT,0.09043390468214457
2023-12-29,MTD,-0.09043390468214457
2023-12-29,NOW,0.09043390468214457
2023-12-29,NTAP,0.09043390468214457
2023-12-29,NVDA,0.09043390468214457
2023-12-29,PEAK,-0.09043390468214457
2023-12-29,PFE,-0.09043390468214457
2023-12-29,PHM,0.09043390468214457
2023-12-29,RCL,0.09043390468214457
2023-12-29,SJM,-0.09043390468214457
2023-12-29,SNPS,0.09043390468214457
2023-12-29,SRE,-0.09043390468214457
2023-12-29,TDG,0.09043390468214457
2023-12-29,TTWO,0.09043390468214457
2023-12-29,VRSK,0.09043390468214457
2023-12-29,WBA,-0.09043390468214457
2024-01-05,AAPL,0.08368426644673632
2024-01-05,ADBE,0.08368426644673632
2024-01-05,AMCR,-0.08368426644673632
2024-01-05,AMD,0.08368426644673632
2024-01-05,AMZN,0.08368426644673632
2024-01-05,ANET,0.08368426644673632
2024-01-05,AVGO,0.08368426644673632
2024-01-05,BMY,-0.08368426644673632
2024-01-05,BR,0.08368426644673632
2024-01-05,CAG,-0.08368426644673632
2024-01-05,CBOE,0.08368426644673632
2024-01-05,CDNS,0.08368426644673632
2024-01-05,CMG,0.08368426644673632
2024-01-05,COST,0.08368426644673632
2024-01-05,CPB,-0.08368426644673632
2024-01-05,CPRT,-0.08368426644673632
2024-01-05,CRM,0.08368426644673632
2024-01-05,CTVA,-0.08368426644673632
2024-01-05,DG,-0.08368426644673632
2024-01-05,EL,-0.08368426644673632
2024-01-05,ES,-0.08368426644673632
2024-01-05,FMC,-0.08368426644673632
2024-01-05,GE,0.08368426644673632
2024-01-05,GIS,-0.08368426644673632
2024-01-05,HRL,-0.08368426644673632
2024-01-05,ILMN,-0.08368426644673632
2024-01-05,INCY,-0.08368426644673632
2024-01-05,K,-0.08368426644673632
2024-01-05,LLY,0.08368426644673632
2024-01-05,META,0.08368426644673632
2024-01-05,MNST,-0.08368426644673632
2024-01-05,MRNA,-0.08368426644673632
2024-01-05,MSFT,0.08368426644673632
2024-01-05,MTD,-0.08368426644673632
2024-01-05,NEE,-0.08368426644673632
2024-01-05,NOW,0.08368426644673632
2024-01-05,NRG,0.08368426644673632
2024-01-05,NVDA,0.08368426644673632
2024-01-05,PEAK,-0.08368426644673632
2024-01-05,PFE,-0.08368426644673632
2024-01-05,PHM,0.08368426644673632
2024-01-05,RCL,0.08368426644673632
2024-01-05,SJM,-0.08368426644673632
2024-01-05,SNPS,0.08368426644673632
2024-01-05,SRE,-0.08368426644673632
2024-01-05,TDG,0.08368426644673632
2024-01-05,TSLA,0.08368426644673632
2024-01-05,WBA,-0.08368426644673632
2024-01-12,AAPL,0.05130477849388733
2024-01-12,ADBE,0.05130477849388733
2024-01-12,AMCR,-0.05130477849388733
2024-01-12,AMD,0.05130477849388733
2024-01-12,ANET,0.05130477849388733
2024-01-12,AVGO,0.05130477849388733
2024-01-12,BKNG,0.05130477849388733
2024-01-12,BMY,-0.05130477849388733
2024-01-12,CAG,-0.05130477849388733
2024-01-12,CBOE,0.05130477849388733
2024-01-12,CDNS,0.05130477849388733
2024-01-12,CPB,-0.05130477849388733
2024-01-12,CPRT,-0.05130477849388733
2024-01-12,CRM,0.05130477849388733
2024-01-12,CTVA,-0.05130477849388733
2024-01-12,DG,-0.05130477849388733
2024-01-12,DHI,0.05130477849388733
2024-01-12,DVN,-0.05130477849388733
2024-01-12,EL,-0.05130477849388733
2024-01-12,ES,-0.05130477849388733
2024-01-12,ETSY,-0.05130477849388733
2024-01-12,FDX,0.05130477849388733
2024-01-12,FMC,-0.05130477849388733
2024-01-12,GE,0.05130477849388733
2024-01-12,GIS,-0.05130477849388733
2024-01-12,HRL,-0.05130477849388733
2024-01-12,HSY,-0.05130477849388733
2024-01-12,K,-0.05130477849388733
2024-01-12,LEN,0.05130477849388733
2024-01-12,LKQ,-0.05130477849388733
2024-01-12,LLY,0.05130477849388733
2024-01-12,META,0.05130477849388733
2024-01-12,MNST,-0.05130477849388733
2024-01-12,MRNA,-0.05130477849388733
2024-01-12,MSFT,0.05130477849388733
2024-01-12,NEE,-0.05130477849388733
2024-01-12,NOW,0.05130477849388733
2024-01-12,NRG,0.05130477849388733
2024-01-12,NVDA,0.05130477849388733
2024-01-12,PEAK,-0.05130477849388733
2024-01-12,PFE,-0.05130477849388733
2024-01-12,PHM,0.05130477849388733
2024-01-12,RCL,0.05130477849388733
2024-01-12,RSG,0.05130477849388733
2024-01-12,SJM,-0.05130477849388733
2024-01-12,SNPS,0.05130477849388733
2024-01-12,SRE,-0.05130477849388733
2024-01-12,TTWO,0.05130477849388733
2024-01-19,AAPL,0.04590195882232767
2024-01-19,ADBE,0.04590195882232767
2024-01-19,AMCR,-0.04590195882232767
2024-01-19,AMD,0.04590195882232767
2024-01-19,ANET,0.04590195882232767
2024-01-19,AVGO,0.04590195882232767
2024-01-19,BMY,-0.04590195882232767
2024-01-19,CAG,-0.04590195882232767
2024-01-19,CBOE,0.04590195882232767
2024-01-19,CDNS,0.04590195882232767
2024-01-19,COST,0.04590195882232767
2024-01-19,CPB,-0.04590195882232767
2024-01-19,CPRT,-0.04590195882232767
2024-01-19,CRM,0.04590195882232767
2024-01-19,CTVA,-0.04590195882232767
2024-01-19,D,-0.04590195882232767
2024-01-19,DG,-0.04590195882232767
2024-01-19,DHI,0.04590195882232767
2024-01-19,DVN,-0.04590195882232767
2024-01-19,EL,-0.04590195882232767
2024-01-19,ES,-0.04590195882232767
2024-01-19,ETN,0.04590195882232767
2024-01-19,ETSY,-0.04590195882232767
2024-01-19,FMC,-0.04590195882232767
2024-01-19,GE,0.04590195882232767
2024-01-19,GIS,-0.04590195882232767
2024-01-19,HRL,-0.04590195882232767
2024-01-19,HSY,-0.04590195882232767
2024-01-19,INCY,-0.04590195882232767
2024-01-19,INTU,0.04590195882232767
2024-01-19,K,-0.04590195882232767
2024-01-19,LLY,0.04590195882232767
2024-01-19,META,0.04590195882232767
2024-01-19,MNST,-0.04590195882232767
2024-01-19,MRNA,-0.04590195882232767
2024-01-19,MSFT,0.04590195882232767
2024-01-19,NEE,-0.04590195882232767
2024-01-19,NOW,0.04590195882232767
2024-01-19,NRG,0.04590195882232767
2024-01-19,NVDA,0.04590195882232767
2024-01-19,PEAK,-0.04590195882232767
2024-01-19,PFE,-0.04590195882232767
2024-01-19,PHM,0.04590195882232767
2024-01-19,RCL,0.04590195882232767
2024-01-19,RSG,0.04590195882232767
2024-01-19,SNPS,0.04590195882232767
2024-01-19,SRE,-0.04590195882232767
2024-01-19,TTWO,0.04590195882232767
2024-01-26,ADBE,0.0434268711327368
2024-01-26,ALB,-0.0434268711327368
2024-01-26,AMCR,-0.0434268711327368
2024-01-26,AMD,0.0434268711327368
2024-01-26,ANET,0.0434268711327368
2024-01-26,AVGO,0.0434268711327368
2024-01-26,BIO,-0.0434268711327368
2024-01-26,BMY,-0.0434268711327368
2024-01-26,CAG,-0.0434268711327368
2024-01-26,CBOE,0.0434268711327368
2024-01-26,CDNS,0.0434268711327368
2024-01-26,COST,0.0434268711327368
2024-01-26,CPRT,-0.0434268711327368
2024-01-26,CRM,0.0434268711327368
2024-01-26,CTAS,0.0434268711327368
2024-01-26,CTVA,-0.0434268711327368
2024-01-26,CVX,-0.0434268711327368
2024-01-26,D,-0.0434268711327368
2024-01-26,DG,-0.0434268711327368
2024-01-26,DHI,0.0434268711327368
2024-01-26,DVN,-0.0434268711327368
2024-01-26,EL,-0.0434268711327368
2024-01-26,ES,-0.0434268711327368
2024-01-26,ETN,0.0434268711327368
2024-01-26,ETSY,-0.0434268711327368
2024-01-26,FMC,-0.0434268711327368
2024-01-26,GE,0.0434268711327368
2024-01-26,HRL,-0.0434268711327368
2024-01-26,HSY,-0.0434268711327368
2024-01-26,INCY,-0.0434268711327368
2024-01-26,INTU,0.0434268711327368
2024-01-26,K,-0.0434268711327368
2024-01-26,LLY,0.0434268711327368
2024-01-26,META,0.0434268711327368
2024-01-26,MNST,-0.0434268711327368
2024-01-26,MRNA,-0.0434268711327368
2024-01-26,MSFT,0.0434268711327368
2024-01-26,NRG,0.0434268711327368
2024-01-26,NVDA,0.0434268711327368
2024-01-26,PEAK,-0.0434268711327368
2024-01-26,PFE,-0.0434268711327368
2024-01-26,PHM,0.0434268711327368
2024-01-26,RCL,0.0434268711327368
2024-01-26,ROP,0.0434268711327368
2024-01-26,RSG,0.0434268711327368
2024-01-26,SRE,-0.0434268711327368
2024-01-26,TTWO,0.0434268711327368
2024-01-26,VRSK,0.0434268711327368
2024-02-02,ALB,-0.04320806241103173
2024-02-02,AMCR,-0.04320806241103173
2024-02-02,ANET,0.04320806241103173
2024-02-02,AVGO,0.04320806241103173
2024-02-02,BIO,-0.04320806241103173
2024-02-02,BKNG,0.04320806241103173
2024-02-02,BMY,-0.04320806241103173
2024-02-02,CAG,-0.04320806241103173
2024-02-02,CAH,0.04320806241103173
2024-02-02,CBOE,0.04320806241103173
2024-02-02,CEG,0.04320806241103173
2024-02-02,CPRT,-0.04320806241103173
2024-02-02,CTAS,0.04320806241103173
2024-02-02,CTVA,-0.04320806241103173
2024-02-02,DG,-0.04320806241103173
2024-02-02,DHI,0.04320806241103173
2024-02-02,EL,-0.04320806241103173
2024-02-02,ES,-0.04320806241103173
2024-02-02,ETN,0.04320806241103173
2024-02-02,ETSY,-0.04320806241103173
2024-02-02,FMC,-0.04320806241103173
2024-02-02,GE,0.04320806241103173
2024-02-02,HRL,-0.04320806241103173
2024-02-02,HSY,-0.04320806241103173
2024-02-02,ILMN,-0.04320806241103173
2024-02-02,LKQ,-0.04320806241103173
2024-02-02,LLY,0.04320806241103173
2024-02-02,MAA,-0.04320806241103173
2024-02-02,MCK,0.04320806241103173
2024-02-02,META,0.04320806241103173
2024-02-02,MNST,-0.04320806241103173
2024-02-02,MSFT,0.04320806241103173
2024-02-02,MTD,-0.04320806241103173
2024-02-02,NRG,0.04320806241103173
2024-02-02,NVDA,0.04320806241103173
2024-02-02,PEAK,-0.04320806241103173
2024-02-02,PFE,-0.04320806241103173
2024-02-02,PHM,0.04320806241103173
2024-02-02,PYPL,-0.04320806241103173
2024-02-02,RCL,0.04320806241103173
2024-02-02,ROP,0.04320806241103173
2024-02-02,RSG,0.04320806241103173
2024-02-02,SRE,-0.04320806241103173
2024-02-02,TDG,0.04320806241103173
2024-02-02,TTWO,0.04320806241103173
2024-02-02,VRSK,0.04320806241103173
2024-02-02,VRTX,0.04320806241103173
2024-02-02,WBA,-0.04320806241103173
2024-02-09,ADBE,0.039471806780709044
2024-02-09,AES,-0.039471806780709044
2024-02-09,ALB,-0.039471806780709044
2024-02-09,ANET,0.039471806780709044
2024-02-09,AVGO,0.039471806780709044
2024-02-09,BIO,-0.039471806780709044
2024-02-09,BMY,-0.039471806780709044
2024-02-09,BR,0.039471806780709044
2024-02-09,BWA,-0.039471806780709044
