period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,-0.04230203586240011
2007-11-30,-0.05216814522985058
2007-12-31,-0.11789138624798878
2008-01-31,-0.12595253063239165
2008-02-29,-0.13109773060808172
2008-03-31,-0.10234615902309974
2008-04-30,-0.09160539468437623
2008-05-31,-0.11013508004881822
2008-06-30,-0.12327419643903603
2008-07-31,-0.12289749900930502
2008-08-31,-0.17373089633446648
2008-09-30,-0.2412124880229849
2008-10-31,-0.26590591974812094
2008-11-30,-0.2659614211067338
2008-12-31,-0.27013352350645203
2009-01-31,-0.2749754580918431
2009-02-28,-0.2716223450418376
2009-03-31,-0.2717456660533435
2009-04-30,-0.27126980411716073
2009-05-31,-0.2700052392045962
2009-06-30,-0.2634081037667326
2009-07-31,-0.26183574403118914
2009-08-31,-0.25558698386569256
2009-09-30,-0.26889727882862446
2009-10-31,-0.2171904872037953
2009-11-30,-0.15902469197853397
2009-12-31,-0.20263863437284602
2010-01-31,-0.170949096296528
2010-02-28,-0.1140332154830882
2010-03-31,-0.0951105928751329
2010-04-30,-0.18816514852638755
2010-05-31,-0.21705744909276614
2010-06-30,-0.17707050505156663
2010-07-31,-0.19418824529697543
2010-08-31,-0.15525901656349728
2010-09-30,-0.14244734686107008
2010-10-31,-0.13956808479100336
2010-11-30,-0.0981250054831595
2010-12-31,-0.08932985651493741
2011-01-31,-0.0549085162919144
2011-02-28,-0.04884962082153044
2011-03-31,-0.019646524803240695
2011-04-30,-0.026900918602958956
2011-05-31,-0.05120192558821812
2011-06-30,-0.09773026810309304
2011-07-31,-0.16341484386081317
2011-08-31,-0.2373503776348106
2011-09-30,-0.17765249135930095
2011-10-31,-0.1786179249630957
2011-11-30,-0.17820352098066672
2011-12-31,-0.16882251198864173
2012-01-31,-0.1589958773859378
2012-02-29,-0.14623852655377434
2012-03-31,-0.1441677349347582
2012-04-30,-0.17113928732282147
2012-05-31,-0.15541544892947712
2012-06-30,-0.1481349797381386
2012-07-31,-0.13527146340686746
2012-08-31,-0.11585191194710842
2012-09-30,-0.12983199861486017
2012-10-31,-0.115369122059516
2012-11-30,-0.09722704402447191
2012-12-31,-0.017577155750517326
2013-01-31,0.0
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,-0.02050258065006727
2013-06-30,0.0
2013-07-31,-0.03936472487634424
2013-08-31,-0.00506313984561757
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,-0.05332335284829348
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,-0.004558834622090169
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.04805863446143965
2014-07-31,0.0
2014-08-31,-0.031791097843400395
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,-0.02486650186961825
2015-01-31,0.0
2015-02-28,-0.00660252400022876
2015-03-31,-0.019991619582198084
2015-04-30,0.0
2015-05-31,-0.027124900676181674
2015-06-30,0.0
2015-07-31,-0.07353717337309584
2015-08-31,-0.08794003848353416
2015-09-30,-0.036912255927537774
2015-10-31,-0.035850394047618805
2015-11-30,-0.045920050862033324
2015-12-31,-0.09794618889565687
