period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,-0.0541244538134531
2007-11-30,-0.03693708775212734
2007-12-31,-0.20093290320436508
2008-01-31,-0.2005573831759444
2008-02-29,-0.20832025603550375
2008-03-31,-0.16705899680021463
2008-04-30,-0.1418634285642636
2008-05-31,-0.17717748609586248
2008-06-30,-0.20582418552058934
2008-07-31,-0.21254712460618763
2008-08-31,-0.3139899334523314
2008-09-30,-0.42478897443897357
2008-10-31,-0.45367727904026633
2008-11-30,-0.45108766834518044
2008-12-31,-0.476564691030963
2009-01-31,-0.5119042608193232
2009-02-28,-0.48221972938167257
2009-03-31,-0.46519463117056925
2009-04-30,-0.45899075279158164
2009-05-31,-0.4606712234794813
2009-06-30,-0.4379272913144584
2009-07-31,-0.42646119250455317
2009-08-31,-0.4154010048235205
2009-09-30,-0.4278322001074881
2009-10-31,-0.40755710107270116
2009-11-30,-0.3812724299212009
2009-12-31,-0.410856873626958
2010-01-31,-0.3902377332456334
2010-02-28,-0.3574210356347859
2010-03-31,-0.3482261631825585
2010-04-30,-0.38181094041947927
2010-05-31,-0.40586906811755197
2010-06-30,-0.3767657961142803
2010-07-31,-0.3915457904458509
2010-08-31,-0.35938090118142063
2010-09-30,-0.34709331473552907
2010-10-31,-0.3426649553555239
2010-11-30,-0.32439052831877524
2010-12-31,-0.3239902220994554
2011-01-31,-0.3008151382633911
2011-02-28,-0.287564469745506
2011-03-31,-0.2727900203672089
2011-04-30,-0.27510454971689313
2011-05-31,-0.2827001276182134
2011-06-30,-0.30616856471996035
2011-07-31,-0.351893242495424
2011-08-31,-0.4206456925004247
2011-09-30,-0.3639366907685829
2011-10-31,-0.3646319375278958
2011-11-30,-0.362581607217638
2011-12-31,-0.3612544298647844
2012-01-31,-0.34669766501280364
2012-02-29,-0.3281880434152753
2012-03-31,-0.3163701978780593
2012-04-30,-0.3409064967143758
2012-05-31,-0.3242819977365524
2012-06-30,-0.3024286605203286
2012-07-31,-0.2979607101822579
2012-08-31,-0.2806688807177782
2012-09-30,-0.2893411885483894
2012-10-31,-0.2755121570484038
2012-11-30,-0.2684507343564333
2012-12-31,-0.20187028205066848
2013-01-31,-0.17526587273890248
2013-02-28,-0.11312269135257058
2013-03-31,-0.09156448950720741
2013-04-30,-0.08464962447853674
2013-05-31,-0.12461110064761338
2013-06-30,-0.03631928375419502
2013-07-31,-0.06664595262263562
2013-08-31,-0.03227336647410661
2013-09-30,-0.0008075933546919378
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,-0.05324131900113016
2014-01-31,0.0
2014-02-28,-0.0063284843289275194
2014-03-31,-0.02431024715914032
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.0439188658336469
2014-07-31,-0.004665149762902887
2014-08-31,-0.02499989091814936
2014-09-30,-0.007277115842088344
2014-10-31,0.0
2014-11-30,-0.004701100525647095
2014-12-31,-0.0027084231130592995
2015-01-31,0.0
2015-02-28,-0.006597451237438601
2015-03-31,-0.045251503360301926
2015-04-30,-0.010846762559648226
2015-05-31,-0.023554862071645144
2015-06-30,0.0
2015-07-31,-0.08836702856720402
2015-08-31,-0.11425773578032306
