train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,lookback,top_pct
2006-10-31,2011-09-30,2011-10-31,2012-09-30,-0.3360863662884464,1.298226437228894,9,0.3
2007-10-31,2012-09-30,2012-10-31,2013-09-30,-0.24172765362445847,2.4850555634085345,12,0.3
2008-10-31,2013-09-30,2013-10-31,2014-09-30,0.9288201803367702,1.0845563660748696,12,0.3
2009-10-31,2014-09-30,2014-10-31,2015-09-30,1.1151386705100101,0.4070149616881242,12,0.3
2010-10-31,2015-09-30,2015-10-31,2016-09-30,0.9775040725231692,-0.10102411018519297,9,0.3
2011-10-31,2016-09-30,2016-10-31,2018-03-31,1.049726587299673,1.9081779095982225,9,0.2
2012-10-31,2018-03-31,2018-04-30,2019-03-31,1.2319491603088004,0.10692843047833084,9,0.1
2013-10-31,2019-03-31,2019-04-30,2020-03-31,0.7561361260303209,-0.17891339897750858,9,0.3
2014-10-31,2020-03-31,2020-04-30,2021-03-31,0.5060404729465608,2.6510404642240344,9,0.2
2015-10-31,2021-03-31,2021-04-30,2022-03-31,0.7480078407317665,-0.17213035660045248,9,0.2
2016-10-31,2022-03-31,2022-04-30,2023-03-31,0.7096463133987935,-0.11685630623848559,9,0.3
2018-04-30,2023-03-31,2023-04-30,2024-03-31,0.383418682411212,0.7905092666472857,9,0.2
2019-04-30,2024-03-31,2024-04-30,2025-03-31,0.4828240664612004,0.3606405645359175,9,0.2
2020-04-30,2025-03-31,2025-04-30,2026-03-31,0.7221167229334025,0.8876476946676513,12,0.3
