sector,weight
Communication,0.028318623170716442
Consumer Staples,0.028318623170716442
Materials,0.03539827896339555
Health Care,0.04247793475607466
Consumer Discretionary,0.04955759054875378
Real Estate,0.04955759054875378
Financials,0.056637246341432884
Utilities,0.056637246341432884
Energy,0.06371690213411199
Industrials,0.10619483689018666
Information Technology,0.16283208323161955
