strategy,extra_lag,sharpe,cagr,maxDD
XS monthly,0,0.41798656838254883,0.05510549641563456,-0.5119042608193232
XS monthly,1,0.4070931053271317,0.05408253195164292,-0.4772672589924257
XS monthly,2,0.4451217504139984,0.06131645187405188,-0.47783509944077074
XS monthly,3,0.48739651028080694,0.06726328425268258,-0.406338650512298
TS monthly,0,0.5053641783282729,0.0610065253374088,-0.27010810242260963
TS monthly,1,0.44084132398041365,0.05277903018472219,-0.2739759645647498
TS monthly,2,0.3802922310514791,0.044438129510288915,-0.32647214026004767
TS monthly,3,0.477939134466874,0.058407775623597,-0.27030147913448366
XS weekly,0,1.4134724211286485,0.2021493993395178,-0.143851664265776
XS weekly,1,1.2316790747763642,0.17067261647006737,-0.15739043931213637
XS weekly,2,1.17704427788891,0.1609531712692318,-0.14544021253649153
XS weekly,3,1.2215813732387895,0.1681667771213211,-0.1534451544926394
