decile,ann_fwd_return,monthly_fwd_return,n_months
1,0.056671261595413316,0.00472260513295111,218
2,0.08790659919581377,0.007325549932984481,218
3,0.09304425703631185,0.007753688086359321,218
4,0.09887666696868833,0.008239722247390694,218
5,0.10282183260770568,0.00856848605064214,218
6,0.11024099908657656,0.00918674992388138,218
7,0.10609180253308115,0.008840983544423428,218
8,0.1038706732236025,0.008655889435300207,218
9,0.11249918988724883,0.009374932490604069,218
10,0.08403649779827341,0.00700304148318945,218
