,raw 12-1,risk-adj 12-1,blended 3/6/12
mean_ic,0.010224047326298879,0.015189922136078268,0.004793572231115678
std_ic,0.19896195948018675,0.18866044498050386,0.1852102710339538
ic_ir,0.051386945288488785,0.0805146099260393,0.025881784008819325
t_stat,0.7587191547904313,1.1887839693216822,0.3821399613733956
p_value,0.44884387206510934,0.23582397432634128,0.7027315300406145
hit_rate,0.5321100917431193,0.5458715596330275,0.518348623853211
n_months,218.0,218.0,218.0
