,horizon_m,mean_ic,ic_ir,t_stat,hit_rate,n_months
raw 12-1,1,0.010224047326298879,0.051386945288488785,0.7587191547904313,0.5321100917431193,218
raw 12-1,3,0.00918965989899683,0.04838084236421872,0.7110502627101816,0.5740740740740741,216
raw 12-1,6,0.006807765282261322,0.035844232389525096,0.5231293492641964,0.5727699530516432,213
raw 12-1,12,-0.009461127166200628,-0.05142108886009784,-0.7398206367549652,0.5603864734299517,207
risk-adj 12-1,1,0.015189922136078268,0.0805146099260393,1.1887839693216822,0.5458715596330275,218
risk-adj 12-1,3,0.01946157144083124,0.11103878591619432,1.6319302029168912,0.5972222222222222,216
risk-adj 12-1,6,0.020905012810800462,0.12462527970326277,1.8188460772307837,0.5727699530516432,213
risk-adj 12-1,12,0.006689679359981983,0.041649128952452985,0.5992266166460715,0.5700483091787439,207
blended 3/6/12,1,0.004793572231115678,0.025881784008819325,0.3821399613733956,0.518348623853211,218
blended 3/6/12,3,0.012105480116252397,0.07580189860276851,1.114055838665832,0.5648148148148148,216
blended 3/6/12,6,0.023227104639562176,0.14523627797251507,2.119653693784189,0.5915492957746479,213
blended 3/6/12,12,0.009280821604856005,0.05862957389274628,0.8435326760196751,0.5555555555555556,207
