date,ticker,weight
2023-10-31,AAPL,0.006311803071744161
2023-10-31,ACGL,0.017041868293709236
2023-10-31,ACN,0.00021039343572480537
2023-10-31,ADBE,0.01830422890805807
2023-10-31,AJG,0.010098884914790659
2023-10-31,AKAM,0.0071533768146433835
2023-10-31,ALGN,0.014937933936461182
2023-10-31,AMAT,0.009888491479065854
2023-10-31,AMD,0.00820534399326741
2023-10-31,AMZN,0.009257311171891438
2023-10-31,ANSS,0.011992425836313906
2023-10-31,AON,0.0008415737428992215
2023-10-31,AVGO,0.01788344203660846
2023-10-31,BDX,0.0023143277929728594
2023-10-31,BKNG,0.019356196086682095
2023-10-31,BR,0.01598990111508521
2023-10-31,BRKB,0.017252261729434042
2023-10-31,BRO,0.014727540500736377
2023-10-31,BSX,0.009678098043341047
2023-10-31,CARR,0.009046917736166631
2023-10-31,CBOE,0.011150852093414685
2023-10-31,CCL,0.008626130864717021
2023-10-31,CDNS,0.017673048600883652
2023-10-31,CE,0.0061014096360193565
2023-10-31,CEG,0.001051967178624027
2023-10-31,CHD,0.015358720807910793
2023-10-31,CMCSA,0.016200294550810016
2023-10-31,CME,0.007574163686092994
2023-10-31,CMG,0.004628655585945719
2023-10-31,COO,0.0025247212286976647
2023-10-31,COST,0.003366294971596886
2023-10-31,CRM,0.015148327372185988
2023-10-31,CSCO,0.005891016200294551
2023-10-31,CTSH,0.007363770250368188
2023-10-31,DHI,0.01409636019356196
2023-10-31,DVA,0.004839049021670524
2023-10-31,ECL,0.012202819272038713
2023-10-31,ETN,0.013044393014937934
2023-10-31,EXPD,0.00042078687144961075
2023-10-31,FDX,0.019776982958131708
2023-10-31,FLT,0.016621081422259626
2023-10-31,GE,0.014517147065011572
2023-10-31,GOOG,0.016831474857984433
2023-10-31,GOOGL,0.01641068798653482
2023-10-31,GRMN,0.008836524300441826
2023-10-31,HWM,0.010519671786240269
2023-10-31,INTU,0.011571638964864297
2023-10-31,IRM,0.0031559015358720807
2023-10-31,KLAC,0.0012623606143488324
2023-10-31,L,0.0029455081001472753
2023-10-31,LEN,0.014306753629286767
2023-10-31,LIN,0.007784557121817799
