,monthly,weekly
Sharpe,-0.014878581266638217,0.24160979009169864
Sortino,-0.020737776934472048,0.29767740496910206
CAGR,-0.02332182753611156,0.028416253249120338
Ann.Vol,0.20202240987925776,0.19356343041101787
MaxDrawdown,-0.6777568335486257,-0.26218825225454034
Calmar,-0.03441031706608139,0.10838110786723187
WinRate,0.4782608695652174,0.39361702127659576
ProfitFactor,0.9881595205484933,1.1080860538825965
Skewness,-0.12238263756964265,-0.280075016684742
AnnTurnover,10.37925629399629,17.901969574467934
AnnTCost,0.03945987740505229,0.06313057941348567
GrossLev(mean),2.7904077962203155,2.4104286360228473
GrossLev(max),6.0,6.0
NetExposure,4.806160279762582e-19,-7.526313493655988e-19
UnlevVol,0.1473593317984433,0.11589089898012982
