,XS (Daily),TS (Daily)
CAGR,0.11940914353032173,0.06589681568287054
Ann.Return,0.11961025359945242,0.06634496581618886
Ann.Vol,0.11649236068457393,0.07108846301764793
Sharpe,1.0267647843734646,0.9332733189029353
Sortino,1.1964822895960652,1.081027489317033
Calmar,0.7828725113697343,0.5722934205775592
MaxDrawdown,-0.15252693356342317,-0.11514515686091131
WinRate,0.3893048128342246,0.386096256684492
ProfitFactor,1.2327589634254337,1.223708151307868
AvgWin,0.006457283472140741,0.0037299918846474813
AvgLoss,-0.0060146977018807005,-0.003438644329018032
Skewness,-0.23840475804122352,0.48444877138597225
Kurtosis,4.981938866207749,21.005713310767604
Months,935.0,935.0
AvgLeverage,0.6778933014116735,0.44185447043828713
AnnTurnover,9.968700293676598,3.2525868267826694
AnnTCost,0.034348803000038154,0.01111727566986289
