period,breadth
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.6813627254509018
2007-03-31,0.5951903807615231
2007-04-30,0.5811623246492986
2007-05-31,0.717434869739479
2007-06-30,0.7535070140280561
2007-07-31,0.6212424849699398
2007-08-31,0.4228456913827655
2007-09-30,0.4088176352705411
2007-10-31,0.48296593186372744
2007-11-30,0.49500998003992014
2007-12-31,0.3787575150300601
2008-01-31,0.33867735470941884
2008-02-29,0.17234468937875752
2008-03-31,0.174
2008-04-30,0.20440881763527055
2008-05-31,0.3406813627254509
2008-06-30,0.4168336673346693
2008-07-31,0.23246492985971945
2008-08-31,0.2745490981963928
2008-09-30,0.364
2008-10-31,0.21042084168336672
2008-11-30,0.05
2008-12-31,0.03006012024048096
2009-01-31,0.03807615230460922
2009-02-28,0.03406813627254509
2009-03-31,0.02404809619238477
2009-04-30,0.09218436873747494
2009-05-31,0.358
2009-06-30,0.6092184368737475
2009-07-31,0.7054108216432866
2009-08-31,0.8777555110220441
2009-09-30,0.905811623246493
2009-10-31,0.9298597194388778
2009-11-30,0.858
2009-12-31,0.872
2010-01-31,0.886
2010-02-28,0.7775551102204409
2010-03-31,0.786
2010-04-30,0.882
2010-05-31,0.858
2010-06-30,0.54
2010-07-31,0.280561122244489
2010-08-31,0.5270541082164328
2010-09-30,0.3346693386773547
2010-10-31,0.6833667334669339
2010-11-30,0.7374749498997996
2010-12-31,0.7134268537074149
2011-01-31,0.8837675350701403
2011-02-28,0.8877755511022044
2011-03-31,0.898
2011-04-30,0.8777555110220441
2011-05-31,0.9018036072144289
2011-06-30,0.811623246492986
2011-07-31,0.6533066132264529
2011-08-31,0.4188376753507014
2011-09-30,0.26452905811623245
2011-10-31,0.14228456913827656
2011-11-30,0.3587174348697395
2011-12-31,0.35528942115768464
2012-01-31,0.4188376753507014
2012-02-29,0.6432865731462926
2012-03-31,0.779559118236473
2012-04-30,0.843687374749499
2012-05-31,0.788
2012-06-30,0.46893787575150303
2012-07-31,0.5450901803607214
2012-08-31,0.5290581162324649
2012-09-30,0.6012024048096193
2012-10-31,0.6432865731462926
2012-11-30,0.5791583166332666
2012-12-31,0.6072144288577155
2013-01-31,0.6813627254509018
2013-02-28,0.84
2013-03-31,0.7955911823647295
2013-04-30,0.8677354709418837
2013-05-31,0.8597194388777555
2013-06-30,0.8697394789579158
2013-07-31,0.779559118236473
2013-08-31,0.8276553106212425
2013-09-30,0.6813627254509018
2013-10-31,0.7274549098196392
2013-11-30,0.7995991983967936
2013-12-31,0.7835671342685371
2014-01-31,0.798
2014-02-28,0.6633266533066132
2014-03-31,0.7835671342685371
2014-04-30,0.7225548902195609
2014-05-31,0.694
2014-06-30,0.6913827655310621
2014-07-31,0.7935871743486974
2014-08-31,0.588
2014-09-30,0.774
2014-10-31,0.57
2014-11-30,0.6520874751491054
2014-12-31,0.6952191235059761
2015-01-31,0.701195219123506
2015-02-28,0.5298804780876494
2015-03-31,0.7151394422310757
2015-04-30,0.6115537848605578
2015-05-31,0.5976095617529881
2015-06-30,0.5734126984126984
2015-07-31,0.44621513944223107
2015-08-31,0.4860557768924303
2015-09-30,0.2594059405940594
2015-10-31,0.21584158415841584
2015-11-30,0.46047430830039526
2015-12-31,0.5119047619047619
2016-01-31,0.42292490118577075
2016-02-29,0.26534653465346536
2016-03-31,0.3194444444444444
