aum,net_sharpe,net_cagr,ann_tcost,gross_sharpe
1000000.0,0.5869942787484794,0.039633067264067456,0.0005824439750679279,0.5951911745636614
10000000.0,0.5865649866628005,0.03960100326127014,0.0006134619983030076,0.5951911745636614
50000000.0,0.5857888825209985,0.0395430426306822,0.0006695338645484139,0.5951911745636614
100000000.0,0.5852072780834155,0.03949961335642782,0.0007115496002418841,0.5951911745636614
500000000.0,0.5827551618537599,0.03931651029853689,0.0008887162601703478,0.5951911745636614
1000000000.0,0.5809174016280574,0.03917933648692995,0.0010214601539864769,0.5951911745636614
5000000000.0,0.5732829786738991,0.03861070934597244,0.0015717890665396489,0.5951911745636614
10000000000.0,0.5681456559487856,0.0382294465376074,0.0019408083978454428,0.5951911745636614
50000000000.0,0.5541736786528775,0.03720004558338674,0.002936963869672059,0.5951911745636614
100000000000.0,0.5483216904221786,0.03677105856236507,0.003352125981163502,0.5951911745636614
