asset,periods_held,total_contribution,mean_per_period,sharpe
AZO,75,0.10819394214762634,0.0014425858953016845,0.6485613907363518
NVDA,63,0.08106499911935013,0.0012867460177674623,1.9804106327354813
FDO,14,0.073942016416208,0.005281572601157714,0.9928066040138733
MU,52,0.05661769140177646,0.0010888017577264702,1.3915263377263665
DUK,12,0.04389187082844279,0.003657655902370233,1.019418313868245
LRCX,48,0.03763757069302713,0.0007841160561047319,1.16712801597854
PHM,36,0.02882220593202669,0.0008006168314451858,1.1155611404118706
WDC,29,0.028777000466391152,0.0009923103609100396,1.3859906768439973
GE,37,0.028425266707804136,0.000768250451562274,0.673383155231209
AMD,29,0.02814243098844695,0.0009704286547740327,1.3497482770634486
NFLX,53,0.027459036130116292,0.0005180950213229489,1.0427975545076473
HWM,34,0.027404552345932674,0.000806016245468608,1.506949861486576
INTU,58,0.027369494455687215,0.000471887835442883,0.9156073026663788
CF,24,0.025508122201724635,0.0010628384250718598,1.1605099553104306
DVN,27,0.025432662274853416,0.0009419504546242006,0.9346338625366527
AMAT,42,0.025299557510943097,0.0006023704169272166,1.1958983541592867
GEV,14,0.02462050778407509,0.0017586076988625064,2.179984860410154
CTAS,71,0.024230654528084667,0.00034127682433922064,0.8162363638308445
CAT,43,0.022990508805401943,0.0005346629954744638,1.4712256020625551
GLW,31,0.02282439162597528,0.0007362706976121058,1.3688066581586134
NTAP,35,0.021914835027002734,0.0006261381436286495,1.473902636633052
MCK,53,0.021877270715784575,0.00041277869275065234,1.0980246999286967
STZ,38,0.0218741041825599,0.0005756343205936816,1.5365457249018812
MA,57,0.02128078914041748,0.0003733471779020611,1.070811999270785
STX,22,0.020619067587507284,0.0009372303448866947,1.0706476291544125
EP,14,0.020227546069136546,0.001444824719224039,1.1132554892766406
PWR,53,0.019521612102783414,0.00036833230382610216,1.0274878864279862
NEM,25,0.018751765215001392,0.0007500706086000557,0.8541716093704449
UNH,49,0.018347720119484746,0.00037444326774458667,1.3823586312273064
CAH,43,0.01799247133983618,0.00041842956604270186,1.069079246301473
MSFT,63,0.017754693350445775,0.00028182052937215517,0.8208840772448971
LLY,65,0.017701432502679144,0.00027232973081044837,0.7864682569435587
SNPS,23,0.017299177386772932,0.0007521381472509971,1.4950587272009739
CMI,40,0.016783872017548756,0.0004195968004387189,1.0413248553164
SBUX,45,0.016609277172130264,0.0003690950482695614,0.8859696769734406
BK,29,0.01573399025707924,0.0005425513881751462,1.814687994355579
MPC,29,0.015006583438281646,0.000517468394423505,0.7940744224595264
AMZN,59,0.014967632191768056,0.00025368868121640773,0.43952612689023907
NI,47,0.014839066467128228,0.0003157248184495368,1.5669401011389967
NEE,38,0.014666364660668582,0.00038595696475443635,0.9811745399312192
WBD,9,0.014525171756131107,0.0016139079729034563,1.5830160448892654
ATVI,14,0.014244159021316151,0.001017439930094011,1.6261715160559527
BIIB,30,0.014048399822573514,0.0004682799940857838,1.4090058404849635
FISV,47,0.013836114338527465,0.00029438541145803115,1.0033400308615308
COG,17,0.013799884070051185,0.0008117578864735991,0.9026529754183963
ANET,16,0.013704790609090446,0.0008565494130681529,1.8718872704825342
VISA,25,0.013437841227175182,0.0005375136490870073,2.3338725522720942
TPR,17,0.013425351497729825,0.0007897265586899897,1.3759666848903283
WYND,21,0.013161685650820291,0.0006267469357533472,1.608919474840746
HSP,24,0.013128700441230382,0.000547029185051266,1.401775143915257
ETN,40,0.012828557033769545,0.00032071392584423865,0.8394939628916225
CDNS,29,0.01266379452859172,0.0004366825699514386,1.1265932990258887
OKE,34,0.012661321794076122,0.00037239181747282713,0.9831728476432483
BSX,50,0.012514680555068512,0.00025029361110137026,0.7758768041098465
AVGO,32,0.012507609096133156,0.00039086278425416114,1.03400284484844
META,18,0.012265071351346808,0.0006813928528526005,1.6858323141859974
LEN,28,0.012101390179284162,0.0004321925064030058,0.9353073846488946
MSCI,16,0.012074056283901922,0.0007546285177438702,1.7315602729722566
WELL,30,0.012063322781070104,0.00040211075936900345,1.4108368592707077
TMO,35,0.011994670666121147,0.0003427048761748899,1.4266884675145184
KLAC,43,0.011987970138284343,0.00027879000321591495,0.5746097287813955
EBAY,28,0.01184507592019612,0.00042303842572129,1.3366977602945642
OXY,23,0.011490657444837555,0.0004995938019494589,0.4732720507961906
ADBE,42,0.0112271420707123,0.00026731290644553096,0.669275993407126
WFM,28,0.01113713099234945,0.00039775467829819463,1.114439737192557
CTSH,25,0.010881462285539352,0.0004352584914215741,1.5933056151692164
AXON,13,0.010851758118990721,0.0008347506245377478,1.1406067036292133
CRM,38,0.01073701287176022,0.00028255297030947945,0.700345982238727
SPG,26,0.010630925631785115,0.00040888175506865825,0.9376993892341572
CNX,9,0.010275827852234048,0.0011417586502482275,0.601608038383159
MYL,31,0.010231717890105579,0.0003300554158098574,1.1309131634484162
HSY,41,0.010154005763414256,0.0002476586771564453,0.86560997276981
FLR,11,0.010102564549173809,0.0009184149590158008,0.7215905185093667
TT,33,0.010003307791997504,0.0003031305391514395,1.0412754540599436
TDG,30,0.009926412436436117,0.00033088041454787056,0.6717302808159352
AMT,40,0.009827788943496705,0.0002456947235874176,1.1717684898986893
EQIX,24,0.00979500532180635,0.00040812522174193125,1.3776683498871736
AMP,44,0.009647169653419128,0.00021925385575952564,0.8515631284069535
MKC,48,0.00957399653086469,0.00019945826105968105,0.6456293419126259
EQR,30,0.009470217913613913,0.0003156739304537971,0.8014443116117175
TJX,46,0.009439245366660309,0.00020520098623174585,0.6522440879436289
TXN,41,0.009384493313049837,0.00022889008080609357,1.1063184972581392
AN,16,0.00919786638130848,0.00057486664883178,0.8441262193132929
F,31,0.009132984194583783,0.0002946123933736704,0.690036752336217
NRG,31,0.009130095322383252,0.0002945192039478468,0.6841139817127291
XYL,24,0.009106996955748816,0.000379458206489534,1.2356149213635166
AON,28,0.008803934657815217,0.0003144262377791149,0.8112886255944002
SBAC,15,0.00880162734584601,0.0005867751563897339,1.2547938317152527
APA,17,0.008767091366607919,0.0005157112568592893,0.40925083588170325
GOOG,32,0.008744018823404849,0.0002732505882314015,0.6949979744730902
QRVO,11,0.008659062722483006,0.0007871875202257278,1.8126660764849403
BLL,32,0.008524362520233312,0.000266386328757291,0.9989773189223157
ZTS,32,0.008478725221838778,0.0002649601631824618,0.8624358246270208
DHI,32,0.008462473772540976,0.0002644523053919055,0.4448262248737887
TSN,26,0.008412511919457253,0.00032355815074835585,0.7014324030466278
RSG,40,0.00834834824593775,0.00020870870614844375,0.9188803639900583
ECL,26,0.008346845734541178,0.00032103252825158376,1.6996449039336887
MRO,22,0.008338997032509213,0.0003790453196595097,0.33426025174982704
BRCM,18,0.008292962895468691,0.00046072016085937174,1.0365116243525851
TSS,23,0.008275298582463649,0.00035979559054189777,0.6485275296754455
PXD,33,0.008269113584615146,0.0002505791995337923,0.4911618433298427
DPS,25,0.008258645289690418,0.00033034581158761673,1.3927212426975761
APH,46,0.008222719001991752,0.00017875476091286417,0.40940084418294037
MCHP,24,0.008181595923349223,0.000340899830139551,1.019457186261318
RAI,15,0.008045056318213934,0.000536337087880929,1.3450395830146153
EQT,17,0.007984362379786057,0.00046966837528153275,0.771489036396762
AABA,15,0.007857442525290859,0.0005238295016860572,1.5310239418071427
LUV,28,0.00783605350685127,0.0002798590538161168,0.8067124656393435
CI,35,0.007797201128194566,0.00022277717509127333,0.4959053798900131
EXPE,38,0.007789002274845413,0.00020497374407487927,0.3796741782418295
GWW,33,0.007654074019544127,0.00023194163695588264,0.6186240626337302
FRX,8,0.007649590763000277,0.0009561988453750346,1.4583415941356537
CHTR,13,0.007346639249547445,0.0005651260961190342,1.2018431829780996
TEL,35,0.007286416147523433,0.00020818331850066952,0.8782088754682109
HD,41,0.007139330721271785,0.00017413001759199474,0.6383508131843844
AET,27,0.007096325952970592,0.00026282688714705896,0.890394479245879
JCI,33,0.007073423459430341,0.00021434616543728304,0.6059881230311179
CMS,43,0.007051454162858294,0.00016398730611298358,0.958267476751405
DC7,20,0.007030619948557349,0.0003515309974278675,1.1762867481967003
GNW,13,0.006793803036974959,0.0005226002336134583,1.5897917287102024
DVA,20,0.006755193849574357,0.00033775969247871784,0.8038337661688989
PCLN,18,0.006753449611153736,0.00037519164506409646,0.6738309761410751
ROK,21,0.006624061346309248,0.0003154314926813928,0.7880355454502784
FMC,17,0.0066149481536916,0.0003891145972759765,0.7312338669186298
JPM,34,0.00652580790879324,0.00019193552672921294,0.8446253913005761
AAZ,16,0.006507140829447699,0.00040669630184048117,0.5262017351886301
AVY,21,0.006481280109028432,0.00030863238614421104,0.6936328317848759
CNP,26,0.006367340643960326,0.00024489771707539716,0.7348651741435989
