,mean_ic,ic_ir,t_stat,p_value,hit_rate,n_months
plain momentum,0.015189922136078268,0.0805146099260393,1.1887839693216822,0.23582397432634128,0.5458715596330275,218.0
trend-filtered,0.015751745117759328,0.09251601227641243,1.3533925819551653,0.17736476907566057,0.5373831775700935,214.0
