Date,USDTHB,USDTWD,USDKRW
25-12-2017,32.722,29.879,1077.109985
26-12-2017,32.700001,29.900999,1076.359985
27-12-2017,32.761002,29.934999,1075.040039
28-12-2017,32.779999,29.934999,1073.550049
29-12-2017,32.666,29.809,1069.48999
01-01-2018,31.855,29.650999,1066.069946
02-01-2018,32.530998,29.773001,1065.219971
03-01-2018,32.41,29.622,1062.540039
04-01-2018,32.321999,29.593,1063.939941
05-01-2018,32.227001,29.57,1061.079956
08-01-2018,32.152,29.466999,1060.5
09-01-2018,32.214001,29.503,1067.689941
10-01-2018,32.257,29.518,1071.73999
11-01-2018,32.118,29.596001,1069.670044
12-01-2018,32.000999,29.587999,1065.140015
15-01-2018,31.91,29.583,1055.800049
16-01-2018,31.902,29.523001,1061.819946
17-01-2018,31.884001,29.549999,1062.459961
18-01-2018,31.98,29.556,1066.560059
19-01-2018,31.9,29.542999,1069.689941
22-01-2018,31.839001,29.364,1066.359985
23-01-2018,31.84,29.261999,1068.810059
24-01-2018,31.757999,29.268,1072.76001
25-01-2018,31.546,29.087999,1064.400024
26-01-2018,31.476,29.063999,1064.890015
29-01-2018,31.33,29.098,1063.130005
30-01-2018,31.396999,29.131001,1069.790039
31-01-2018,31.396999,29.219999,1072.540039
1/2/2018,31.32,29.142,1069.02002
2/2/2018,31.299999,29.187,1071.180054
5/2/2018,31.459999,29.346001,1090.01001
6/2/2018,31.608,29.301001,1093.300049
7/2/2018,31.507,29.375,1079.26001
8/2/2018,31.65,29.264,1089.420044
9/2/2018,31.888,29.368999,1095.859985
12/2/2018,31.709999,29.306,1083.170044
13-02-2018,31.6,29.396,1082.609985
14-02-2018,31.448,29.339001,1083.77002
15-02-2018,31.294001,29.136,1070.01001
16-02-2018,31.26,28.941999,1063.069946
19-02-2018,31.266001,29.061001,1065.630005
20-02-2018,31.353001,29.021999,1066.709961
21-02-2018,31.500999,29.319,1072.540039
22-02-2018,31.544001,29.218,1074.859985
23-02-2018,31.459999,29.281,1080.079956
26-02-2018,31.412001,28.479,1075
27-02-2018,31.274,29.202,1069.699951
28-02-2018,31.469999,29.274,1079.390015
1/3/2018,31.473,29.333,1085.349976
2/3/2018,31.459999,29.289,1081.949951
5/3/2018,31.429001,29.268,1079.209961
6/3/2018,31.389999,29.257,1076.660034
7/3/2018,31.35,29.198999,1063.160034
8/3/2018,31.306999,29.257,1066.150024
9/3/2018,31.353001,29.329,1073.459961
12/3/2018,31.299999,29.247999,1064.050049
13-03-2018,31.27,29.256001,1063.859985
14-03-2018,31.219999,29.257,1066.400024
15-03-2018,31.143999,29.173,1062.550049
16-03-2018,31.205,29.128,1068.75
19-03-2018,31.209999,29.113001,1070.209961
20-03-2018,31.197001,29.157,1072.160034
