,trend wk (equal),trend wk (signal),plain wk (equal)
CAGR,0.16955143989155164,0.21103615628435546,0.15380378095695368
Ann.Return,0.1648038433301215,0.20108708924447335,0.1495969401366827
Ann.Vol,0.12656517638604656,0.13685963920019184,0.11288555151789961
Sharpe,1.3021262880987114,1.469294310723212,1.325208922888258
Sortino,1.6345924172318067,1.946014464708098,1.6235880801538412
Calmar,1.1650468741672062,1.524433175647822,1.116107077544343
MaxDrawdown,-0.14553186112168204,-0.13843581972340224,-0.13780378608059052
WinRate,0.4521276595744681,0.46808510638297873,0.4574468085106383
ProfitFactor,1.7428907498951165,1.881355513107418,1.7458834233741185
AvgWin,0.016445539667498767,0.01763501226703436,0.01472051658803688
AvgLoss,-0.015726305725596423,-0.017184873139418366,-0.014502279013847916
Skewness,-0.008940927811658063,0.2542109803415694,-0.2037640293060337
Kurtosis,1.7531628887370347,2.300564841891778,1.5700608982745319
Months,188.0,188.0,188.0
AvgLeverage,0.7211826593545437,0.7107780229377788,0.723404255319149
AnnTurnover,6.9080260358677945,6.490952026726666,4.647450328574931
AnnTCost,0.023844562969933373,0.022305099136654467,0.015989301667627163
