,TS-trend equal,TS-trend signal,plain TS (no SMA),XS-trend equal (§4),Benchmark
CAGR,0.03633802074913639,0.038093548383066,0.047051979002537214,0.05200060180875332,0.08479260828790691
Ann.Return,0.03823628283611547,0.04006268265320513,0.05007466528570699,0.06308476574537845,0.09398291681200227
Ann.Vol,0.07052309757541292,0.0723975976746476,0.08948221728958321,0.15632244280990534,0.15636845707995894
Sharpe,0.5421809896428332,0.5533703318892638,0.5596046544494409,0.4035553987733686,0.6010350077442035
Sortino,0.6963499751621637,0.730939647446475,0.7279337826190356,0.5413511321924801,0.8137506863279959
Calmar,0.23788607630564468,0.2794372840621707,0.26163735235123803,0.11407723845108762,0.16021450208930368
MaxDrawdown,-0.15275387829949316,-0.13632235408711868,-0.17983662722351568,-0.4558367866789603,-0.52924427677991
WinRate,0.5695652173913044,0.5869565217391305,0.5782608695652174,0.5391304347826087,0.6304347826086957
ProfitFactor,1.5389796952526595,1.5519059646050106,1.5603279284713605,1.3661572978855656,1.5629058295445701
AvgWin,0.015973917797343026,0.01599385531839173,0.020094935497103908,0.036381651670016744,0.03449249197822538
AvgLoss,-0.015628978663904863,-0.01676267932284882,-0.020151317683985513,-0.03512978862016655,-0.03764790703465848
Skewness,-0.5877597786139791,-0.4359641403296727,-0.4852146525638644,-0.37492962450952005,-0.5427242360633185
Kurtosis,1.8333746043513521,1.4349001899157656,1.6605708630333966,1.3396933959250612,1.099940200381675
Months,230.0,230.0,230.0,230.0,230.0
AvgLeverage,0.46044233882429075,0.46040656768203403,0.5623431625055946,0.8802142885881274,
AnnTurnover,1.0702253362012841,1.2296615743761359,0.9336510276604162,4.018327243202658,
AnnTCost,0.003769064077386916,0.004274410163577363,0.003310855459108443,0.015178358792310479,
