period,oos_net_return,oos_equity,fixed_default_equity
2011-10-31,-0.002305846175387821,0.9976941538246121,0.9976416701596973
2011-11-30,0.004029224200689775,1.001714087254089,1.0016998316907608
2011-12-31,0.008791937842197643,1.0105210952448809,1.003835871295233
2012-01-31,0.02629573526331895,1.0370934904434392,1.031861856507938
2012-02-29,0.03353184075218176,1.0718691442101131,1.0654912825202438
2012-03-31,0.01165476862207999,1.0843615310790289,1.0856192552824606
2012-04-30,-0.0398124669829198,1.0411904234253966,1.0459364753719695
2012-05-31,0.03186708957044728,1.0743701319085857,1.0722039293227674
2012-06-30,0.019673583862579416,1.0955068427981398,1.1047208374734183
2012-07-31,0.009421561680236999,1.105828228088684,1.1103699789720933
2012-08-31,0.019488490283179605,1.127379150766656,1.132333952087297
2012-09-30,-0.008731032062511333,1.1175359672547054,1.1210798726387923
2012-10-31,0.011797398343292553,1.130719984223366,1.1360757145088962
2012-11-30,0.00808092223244654,1.139857244482548,1.142568505062651
2012-12-31,0.04604588583728322,1.1923429810327917,1.2049989348696215
2013-01-31,0.018950210482928928,1.214938131491206,1.2320848898629884
2013-02-28,0.0491789910162413,1.2746875629451009,1.2904040135436798
2013-03-31,0.009825356315787306,1.287211822442339,1.3098676456678886
2013-04-30,0.005479790429438565,1.2942654734676187,1.3151954362670182
2013-05-31,-0.01786258793246662,1.2711465426398478,1.281888874341965
2013-06-30,0.058309951182193114,1.345267035486591,1.3638832250082313
2013-07-31,-0.032678073095035474,1.3013063009686185,1.3177209198525732
2013-08-31,0.04278338339283989,1.3569805873544774,1.378114241507555
2013-09-30,0.04451422778325343,1.4173855303174276,1.4309828646632392
2013-10-31,0.032228791722566506,1.4630661533646074,1.4776301189997356
2013-11-30,0.029615060631108543,1.506394946203823,1.5212835960054085
2013-12-31,-0.033501525298509804,1.4559284178040284,1.4663263516242255
2014-01-31,0.061552362143817735,1.5455442510321773,1.5553511644332618
2014-02-28,-0.0008632601757151865,1.5442100442304558,1.5430054235198447
2014-03-31,-0.017814376810642754,1.516700904627755,1.5097326631546533
2014-04-30,0.03227403285092283,1.5656509594487356,1.5589826816577885
2014-05-31,0.021775771209832043,1.5997442165361453,1.5952932081564957
2014-06-30,-0.030348001988354748,1.5511951758718474,1.5437659995348791
2014-07-31,0.03490184465079179,1.6053347489231844,1.594325922393866
2014-08-31,-0.023031491714941787,1.568361494953652,1.5666162303225393
2014-09-30,0.023969301179121032,1.6059540239839327,1.5880414787419663
