period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,-0.021128793831479697
2007-11-30,-0.026156195492465284
2007-12-31,-0.059911170166331296
2008-01-31,-0.06419913722622184
2008-02-29,-0.06694589794168271
2008-03-31,-0.05150462858507676
2008-04-30,-0.04582927035124773
2008-05-31,-0.055556500544013954
2008-06-30,-0.06252267790055199
2008-07-31,-0.06231274221625138
2008-08-31,-0.08947865064998828
2008-09-30,-0.1266540875558051
2008-10-31,-0.14085128600347974
2008-11-30,-0.14087455111970448
2008-12-31,-0.1433142285096939
2009-01-31,-0.1461530931327859
2009-02-28,-0.14417623344538266
2009-03-31,-0.14424691374075715
2009-04-30,-0.14396635664918556
2009-05-31,-0.14322076696196417
2009-06-30,-0.13934172338812012
2009-07-31,-0.13841537811799387
2009-08-31,-0.1347647560285956
2009-09-30,-0.14248394796392938
2009-10-31,-0.11211168162187868
2009-11-30,-0.0767693336119818
2009-12-31,-0.10662353355317855
2010-01-31,-0.07262489915610681
2010-02-28,-0.01211030500578214
2010-03-31,0.0
2010-04-30,-0.07079480199429722
2010-05-31,-0.11330780012293873
2010-06-30,-0.05935711377823216
2010-07-31,-0.08525474039294434
2010-08-31,-0.026330621732452375
2010-09-30,-0.006802612614709047
2010-10-31,-0.002801782489916027
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.0
2011-03-31,0.0
2011-04-30,-0.005270540398042978
2011-05-31,-0.022359239791119645
2011-06-30,-0.05537720452547268
2011-07-31,-0.10597055715137071
2011-08-31,-0.17193848152682045
2011-09-30,-0.10890893721774508
2011-10-31,-0.10992160152320596
2011-11-30,-0.10932566852467929
2011-12-31,-0.09884890876030095
2012-01-31,-0.08877220340574443
2012-02-29,-0.07671106050536569
2012-03-31,-0.07489498218784119
2012-04-30,-0.09642053200762823
2012-05-31,-0.08410601506950799
2012-06-30,-0.07881689007656267
2012-07-31,-0.0702245968048747
2012-08-31,-0.05832097503987821
2012-09-30,-0.0661296588826723
2012-10-31,-0.05835946694648786
2012-11-30,-0.048699688396309226
2012-12-31,-0.006729987645776592
2013-01-31,0.0
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,-0.010248111744448174
2013-06-30,0.0
2013-07-31,-0.02574420732094085
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,-0.02661795331357486
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,-0.0036662721820291955
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.02401614575594546
2014-07-31,0.0
2014-08-31,-0.02182321671819687
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,-0.012317653306621601
2015-01-31,0.0
2015-02-28,-0.0037936511581533328
2015-03-31,-0.012079943915827895
2015-04-30,0.0
2015-05-31,-0.013475885756567885
2015-06-30,0.0
2015-07-31,-0.03676863809320641
2015-08-31,-0.04547197922999069
2015-09-30,-0.013736023709667422
2015-10-31,-0.01256767051083274
2015-11-30,-0.01765607231518096
2015-12-31,-0.044438112115667394
2016-01-31,-0.04519816605946836
2016-02-29,-0.030092787300507795
