period,drawdown
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,-0.028372587970211693
2007-11-30,-0.02020227749060155
2007-12-31,-0.10416146194891296
2008-01-31,-0.10372888169965633
2008-02-29,-0.11485953906839408
2008-03-31,-0.06563237221335971
2008-04-30,-0.04113197442909844
2008-05-31,-0.07491799313654535
2008-06-30,-0.10981301829686319
2008-07-31,-0.11663470680476495
2008-08-31,-0.20344316463643652
2008-09-30,-0.3403501845999152
2008-10-31,-0.38520684728590115
2008-11-30,-0.38194228864809987
2008-12-31,-0.42079377474856283
2009-01-31,-0.4735970532882591
2009-02-28,-0.43147862076270926
2009-03-31,-0.4073057643686563
2009-04-30,-0.39850594699657405
2009-05-31,-0.40182388735651986
2009-06-30,-0.36877533796567596
2009-07-31,-0.35206783734589797
2009-08-31,-0.3361340342033525
2009-09-30,-0.3556404748452776
2009-10-31,-0.325993335442086
2009-11-30,-0.2868856125619629
2009-12-31,-0.33241964046911343
2010-01-31,-0.30187214486148006
2010-02-28,-0.2525977357693867
2010-03-31,-0.2391340358567785
2010-04-30,-0.2904097642525536
2010-05-31,-0.3281205410085297
2010-06-30,-0.2849016049783234
2010-07-31,-0.3082972075796847
2010-08-31,-0.2600612720238762
2010-09-30,-0.24167462366298453
2010-10-31,-0.23521191414553022
2010-11-30,-0.20746474052458763
2010-12-31,-0.20752680384508793
2011-01-31,-0.17691730791445914
2011-02-28,-0.16098332107034674
2011-03-31,-0.14452116582051266
2011-04-30,-0.14756348080171677
2011-05-31,-0.1556842273804977
2011-06-30,-0.17866445351946136
2011-07-31,-0.22380663166757142
2011-08-31,-0.3006007139478547
2011-09-30,-0.21950257255148575
2011-10-31,-0.22134324292491703
2011-11-30,-0.2181758582897515
2011-12-31,-0.2165086848735328
2012-01-31,-0.19463447551330648
2012-02-29,-0.16838679502413167
2012-03-31,-0.15267696406346776
2012-04-30,-0.1836492716976117
2012-05-31,-0.16314759146339175
2012-06-30,-0.1377682283032291
2012-07-31,-0.13335908789622064
2012-08-31,-0.11621626338325586
2012-09-30,-0.12500004344111504
2012-10-31,-0.11329582743907418
2012-11-30,-0.10822822111490649
2012-12-31,-0.05950143125606111
2013-01-31,-0.03836091306375211
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,-0.025324420239465573
2013-06-30,0.0
2013-07-31,-0.033846229874540334
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,-0.03612557482739576
2014-01-31,0.0
2014-02-28,-0.007937590684169105
2014-03-31,-0.02933003319236327
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.03229952234370803
2014-07-31,-0.0006063372912792353
2014-08-31,-0.01797599192884136
2014-09-30,-0.004545703183247096
2014-10-31,0.0
2014-11-30,-0.004020799451475376
2014-12-31,-0.0032358273960174655
2015-01-31,0.0
2015-02-28,-0.0050841677514092964
2015-03-31,-0.031018715722977097
2015-04-30,-0.0017018812179553366
2015-05-31,-0.010645018389604077
2015-06-30,0.0
2015-07-31,-0.049574103623840626
2015-08-31,-0.0706955445939329
2015-09-30,-0.013188268952622484
2015-10-31,-0.007133002776714581
