period,rolling_sharpe
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,
2008-02-29,
2008-03-31,
2008-04-30,
2008-05-31,
2008-06-30,
2008-07-31,
2008-08-31,
2008-09-30,-1.2386686073840127
2008-10-31,-1.3933886815819625
2008-11-30,-1.3779299020104208
2008-12-31,-1.5234471777758152
2009-01-31,-1.7114017239291024
2009-02-28,-1.4309819132767585
2009-03-31,-1.308558127328478
2009-04-30,-1.2698710992175672
2009-05-31,-1.283293240120165
2009-06-30,-1.130979552525282
2009-07-31,-1.065348833967378
2009-08-31,-1.0058055423754446
2009-09-30,-1.0689698826895588
2009-10-31,-0.8772036263538793
2009-11-30,-0.7645031911901616
2009-12-31,-0.6865763937392597
2010-01-31,-0.5835557664205507
2010-02-28,-0.3988411883380774
2010-03-31,-0.5119552787910432
2010-04-30,-0.7230726094012595
2010-05-31,-0.7342620334174275
2010-06-30,-0.4977868704371198
2010-07-31,-0.5415565970784088
2010-08-31,-0.148448689997977
2010-09-30,0.4588268527272314
2010-10-31,0.7008298712364427
2010-11-30,0.7850479786820211
2010-12-31,1.0112796877615715
2011-01-31,1.5852771710637932
2011-02-28,1.4640341977505578
2011-03-31,1.4170922718601162
2011-04-30,1.34059829650166
2011-05-31,1.309288636665137
2011-06-30,0.9813561212116655
2011-07-31,0.591426263697197
2011-08-31,0.07812133566040576
2011-09-30,0.45961545764751593
2011-10-31,0.3434647151508946
2011-11-30,0.21376859205755452
2011-12-31,0.3953775958993182
2012-01-31,0.3560724086492332
2012-02-29,0.27489038365602186
2012-03-31,0.2878479616093093
2012-04-30,0.352657156231621
2012-05-31,0.6028464462342341
2012-06-30,0.5452120704838863
2012-07-31,0.6681261418077471
2012-08-31,0.5592789462964443
2012-09-30,0.44481696711252205
2012-10-31,0.47206933131433115
2012-11-30,0.3896365326827156
2012-12-31,0.5859676162074228
2013-01-31,0.5467535805403169
2013-02-28,0.6449125310235173
2013-03-31,0.6285732361332532
2013-04-30,0.6586372628841994
2013-05-31,0.5915286320761173
2013-06-30,0.911156080957436
2013-07-31,1.0319819741682148
2013-08-31,1.9521996922024305
2013-09-30,1.9688798719058884
2013-10-31,2.1648082747347104
2013-11-30,2.317152123037136
2013-12-31,1.9377445548229266
2014-01-31,2.0278887170722335
2014-02-28,1.8323045731850962
2014-03-31,1.607561868487971
2014-04-30,2.0636297515031425
2014-05-31,2.057823343745273
2014-06-30,1.6437043589468827
2014-07-31,1.7683138350614136
2014-08-31,1.5505533792954254
2014-09-30,1.6857967674522245
2014-10-31,1.7744583145826203
2014-11-30,1.7166083725796142
2014-12-31,1.5149372224933815
2015-01-31,1.5915980660335671
2015-02-28,1.369521971139425
2015-03-31,1.1307001353608972
