train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,lookback,top_pct,gap
2006-10-31,2011-09-30,2011-10-31,2012-09-30,-0.04557073273538458,1.6422325787012158,12,0.3,2
2007-10-31,2012-09-30,2012-10-31,2013-09-30,0.0805436092230625,2.3822014163274097,12,0.3,2
2008-10-31,2013-09-30,2013-10-31,2014-09-30,0.9423082844461278,1.05275218847892,12,0.3,2
2009-10-31,2014-09-30,2014-10-31,2015-09-30,1.1344173944285307,0.7042926210719795,12,0.2,0
2010-10-31,2015-09-30,2015-10-31,2016-09-30,1.1527805965909759,-0.2519605676563407,12,0.2,0
2011-10-31,2016-09-30,2016-10-31,2018-03-31,1.1118983489235408,2.098185833546987,9,0.2,0
2012-10-31,2018-03-31,2018-04-30,2019-03-31,1.2629662134894737,0.44685062020504623,9,0.2,0
2013-10-31,2019-03-31,2019-04-30,2020-03-31,0.8909602423579305,-0.19134996674964388,9,0.2,0
2014-10-31,2020-03-31,2020-04-30,2021-03-31,0.5657987439894622,2.3620385594218005,9,0.1,0
2015-10-31,2021-03-31,2021-04-30,2022-03-31,0.8701454720296021,-0.08669837126977387,9,0.2,0
2016-10-31,2022-03-31,2022-04-30,2023-03-31,0.8384648217953403,-0.12549332554265138,9,0.3,0
2018-04-30,2023-03-31,2023-04-30,2024-03-31,0.4854791719095927,0.9499479015100823,9,0.3,0
2019-04-30,2024-03-31,2024-04-30,2025-03-31,0.5623717990977523,-0.23745251626692504,6,0.1,1
2020-04-30,2025-03-31,2025-04-30,2026-03-31,0.7631168036457812,1.5357117224851253,6,0.2,0
