asset,periods_held,total_contribution,mean_per_period,sharpe
NFLX,110,0.019353694061430442,0.0001759426732857313,1.1761667653683814
NVDA,136,0.01839865643514473,0.00013528423849371124,0.9624386098005638
MU,130,0.01766490342634705,0.00013588387251036192,0.9035215887426387
AMZN,180,0.01558373699753745,8.657631665298583e-05,0.9985120744021166
AMD,96,0.014879065847589985,0.00015499026924572902,0.8439825011391514
PWR,141,0.012284549505485916,8.71244645779143e-05,1.1710859687046455
LRCX,110,0.011910771864603263,0.00010827974422366602,0.9244163981021912
AMAT,136,0.011486243756019726,8.445767467661564e-05,0.8395320430007928
KLAC,168,0.011394044780424648,6.782169512157528e-05,0.7590698048132076
CTAS,166,0.01094810094264043,6.595241531711102e-05,1.1950500669876059
WDC,105,0.010544588457029103,0.00010042465197170573,0.7034326560617414
STX,97,0.010274771566145672,0.00010592548006335745,0.7680937321807704
EA,138,0.009912418972046798,7.182912298584637e-05,0.7185318478417904
GE,78,0.009671936851882681,0.00012399919040875234,0.5006791742832282
ADBE,143,0.00949188640867175,6.637682803266959e-05,0.7812181999990302
MA,160,0.009223921127980402,5.764950704987751e-05,0.9213567539198786
AZO,187,0.009176283884050913,4.907103681310648e-05,0.7103072539339631
MCO,160,0.009161478970304646,5.725924356440404e-05,0.7457298276711133
PGR,159,0.008983602833068139,5.650064674885622e-05,0.8657456019555572
AA,45,0.00873974442922615,0.00019421654287169222,0.557088182509035
BSX,142,0.008676224493887967,6.110017249216878e-05,0.8226914245734793
LLY,168,0.008481879162741294,5.048737596869818e-05,0.7613281815188604
GLW,129,0.00847391791158857,6.56892861363455e-05,0.6750652409953218
DUK,149,0.008378992022400318,5.6234845787921596e-05,0.3741265180990495
UNH,168,0.008346485537861954,4.968146153489258e-05,0.7772337057419927
NDAQ,150,0.008300338355833693,5.533558903889129e-05,0.9316144312132854
ETFC,83,0.008248190443399675,9.937578847469488e-05,0.8266984874201618
SHW,158,0.008199446535434612,5.1895231236927925e-05,0.7449146048297359
HWM,59,0.008126221010693654,0.00013773255950328228,1.5311384490140483
INTU,172,0.008088539159706424,4.702639046340944e-05,0.6812353411781915
COST,186,0.008078578517063624,4.3433217833675396e-05,0.860458122590178
URI,89,0.00807808051136445,9.07649495658927e-05,0.7926701686596017
AMP,143,0.007879355084546109,5.510038520661615e-05,0.7651185281562477
ISRG,129,0.007853474523543857,6.087964746933222e-05,0.6961276050157004
MSI,140,0.007706107460915538,5.504362472082527e-05,0.8800292412086262
PH,149,0.007668595683588883,5.1467085124757605e-05,0.6561004157748144
HD,166,0.007629239085474901,4.5959271599246394e-05,0.8035799466859581
MCK,165,0.007419559573294884,4.496702771693869e-05,0.7175101721771998
AVGO,101,0.0073398586212007535,7.267186753664113e-05,0.7384018331353032
STZ,137,0.007287177737689565,5.31910783772961e-05,0.7446587497750071
CRM,143,0.007228844595163231,5.055136080533728e-05,0.6830345843862754
RSG,161,0.007206634184008786,4.476170300626575e-05,1.0397750080692618
ORLY,163,0.006932383785392771,4.252996187357528e-05,0.5031774352185201
ADI,169,0.006927430597840592,4.0990713596689896e-05,0.5679837917462842
GOOG,100,0.006775777969049132,6.775777969049132e-05,0.9086766140074751
CMI,139,0.006660398618867573,4.791653682638542e-05,0.6267275447626629
CAT,132,0.00664491880088412,5.0340293946091815e-05,0.5908994768931407
AET,97,0.006576679238950781,6.78008168963998e-05,0.9418139735959132
GOOGL,160,0.006531982083292958,4.0824888020580986e-05,0.4632320305545668
ANET,44,0.006502904791934391,0.0001477932907257816,1.2688517311632983
EXPE,145,0.006453096936161778,4.450411680111571e-05,0.4236422815115579
ROST,124,0.006337371921668671,5.110783807797315e-05,0.7789930112127683
VMC,133,0.0062680530752104785,4.71282186106051e-05,0.6298213456630132
SBUX,132,0.006144158404863961,4.6546654582302734e-05,0.739221234173046
INTC,70,0.006052072117511528,8.645817310730755e-05,0.5665399923522122
MS,126,0.006041321505518564,4.794699607554416e-05,0.6312771661615129
APH,137,0.006038944532832957,4.4079887100970484e-05,0.5848603366993517
ADSK,150,0.005924931073266592,3.949954048844395e-05,0.3757776171285299
HRS,91,0.005885459631758228,6.467538056877174e-05,0.8815146572894308
TSS,99,0.005847758780321005,5.9068270508292975e-05,0.8734320180534518
ECL,177,0.00584756303775706,3.3037079309361916e-05,0.5960024173445824
FIS,144,0.005791071144697211,4.021577183817507e-05,0.6887772580706477
EW,98,0.005693428313773468,5.809620728340273e-05,0.6684495912238785
ETN,135,0.0056770950054762775,4.205255559612057e-05,0.5621206399928977
XLNX,119,0.005553744460911732,4.6670121520266654e-05,0.6023174634235194
TXN,145,0.005488101898396355,3.784897860963004e-05,0.573360149385271
PCLN,70,0.005482595728903548,7.832279612719353e-05,0.8056091063158194
MSFT,167,0.005452537865246978,3.264992733680825e-05,0.5034680142785122
HUM,136,0.0054436494251628,4.002683400855e-05,0.49710259855995337
JPM,144,0.005439722112323639,3.777584800224749e-05,0.5763303743629036
CBRE,86,0.0054373447487992875,6.32249389395266e-05,0.7634703241417146
GRMN,108,0.00541380319034374,5.012780731799759e-05,0.720670469102781
BA,131,0.005396591133052353,4.1195352160704983e-05,0.43013232605631957
C,95,0.005363587246002172,5.645881311581234e-05,0.7051983752212857
BAC,110,0.005321070048576352,4.8373364077966837e-05,0.6750656654941257
HSY,139,0.005318518017859529,3.826271955294625e-05,0.6482123476045549
PYPL,68,0.005300890544713179,7.795427271637029e-05,0.7909089371417442
MAR,146,0.005294493130830538,3.626365158103108e-05,0.501321148138719
BRKB,138,0.005271870852594913,3.820196269996314e-05,0.7859131716574747
TSO,58,0.005262547012954049,9.073356918886291e-05,0.784666603381477
ORCL,164,0.005231500134862066,3.189939106623211e-05,0.3753596537403942
PHM,124,0.0052214652501522745,4.210859072703447e-05,0.3986407234220624
MMC,171,0.0051820196386003735,3.0304208412867683e-05,0.6271812086800879
TJX,162,0.005174505106364552,3.19413895454602e-05,0.5805056572636981
COP,116,0.005161333302771611,4.44942526101001e-05,0.5746776271706336
ANTM,107,0.005150598048193021,4.813643035694412e-05,0.6469965025269169
MPC,77,0.005103856080325601,6.628384519903377e-05,0.7451281701552667
CELG,78,0.0050879088515378606,6.52296006607418e-05,0.6392889116471451
CAH,128,0.005078665128567033,3.967707131692995e-05,0.6307711661190799
ABC,123,0.005020925356957671,4.0820531357379434e-05,0.7406843664140463
ADP,163,0.00500093455666127,3.068058010221638e-05,0.5793291271472613
TT,78,0.004992735658217578,6.400943151560998e-05,0.8488870035484747
EFX,149,0.004990276444249536,3.349178821643984e-05,0.42723449817599907
HRL,104,0.0049839674032012005,4.792276349231923e-05,0.8930343668208351
BCR,91,0.004978863155272591,5.471278192607243e-05,0.738926309059893
CSX,137,0.004927985422602946,3.597069651534997e-05,0.4220760819862499
CI,141,0.004903365066161618,3.477563876710367e-05,0.5174311411925073
CSCO,141,0.004900741060551742,3.4757028798239305e-05,0.49640399970541904
LB,35,0.004884747088295148,0.00013956420252271852,1.842145066536069
MAS,134,0.004878461685907569,3.640643049184753e-05,0.43207393938522237
NTAP,108,0.004862758961646572,4.5025545941171966e-05,0.4638621440349261
WM,158,0.004855168776510289,3.072891630702715e-05,0.606268215078423
ACN,130,0.004812253722542602,3.701733632725079e-05,0.6016801865696342
