cost_bps,net_sharpe,net_cagr,ann_tcost
0.0,0.530736414869459,0.06945700833580704,0.0
2.5,0.5207762122096984,0.06789182832664409,0.0014713948657378234
5.0,0.510815157685127,0.0663287232218539,0.002942789731475647
10.0,0.49089062154146107,0.0632087278536948,0.005885579462951294
20.0,0.4510327409374466,0.0569935275269704,0.011771158925902588
35.0,0.39122775999354453,0.04773240854747951,0.020599528120329526
50.0,0.3314071699213947,0.03854483839496403,0.029427897314756472
75.0,0.23169040585822348,0.023394240116271225,0.044141845972134705
100.0,0.13198184548948486,0.00844408042184952,0.058855794629512945
