setting,ann_turnover,ann_tcost,gross_sharpe,net_sharpe,net_cagr,net_maxDD
full rebalance,2.9427897314756466,0.010754885715023442,0.530736414869459,0.4579012127369799,0.058063313862808386,-0.4735970532882591
band 0.25x pos,2.7371261581334405,0.010034915329121805,0.5193332928538236,0.45195523565485435,0.05750548235108477,-0.4791709911851112
band 0.5x pos,2.6448839780120332,0.009689760412770344,0.5019145838367127,0.43791897883662223,0.05605222512887287,-0.4786580293079382
rank buffer 50%,2.0467979358845256,0.007464282607255781,0.541675005040657,0.49109479640359677,0.0631131709265913,-0.480430289951829
band 0.5x + buffer 50%,1.6955706955814434,0.006225083841548401,0.5001257250073906,0.4587947184523728,0.059007005386441325,-0.48829630335294805
trade rate 50%,1.8439151529579894,0.006518865717378463,0.5515833555490443,0.5076410705155548,0.06597920994202555,-0.46421790637409566
