period,rolling_sharpe
2006-10-31,
2006-11-30,
2006-12-31,
2007-01-31,
2007-02-28,
2007-03-31,
2007-04-30,
2007-05-31,
2007-06-30,
2007-07-31,
2007-08-31,
2007-09-30,
2007-10-31,
2007-11-30,
2007-12-31,
2008-01-31,
2008-02-29,
2008-03-31,
2008-04-30,
2008-05-31,
2008-06-30,
2008-07-31,
2008-08-31,
2008-09-30,-1.4670124331125745
2008-10-31,-1.631224931590049
2008-11-30,-1.6315891444051553
2008-12-31,-1.6683665826227743
2009-01-31,-1.7114763224203637
2009-02-28,-1.678549145667215
2009-03-31,-1.6796748162605533
2009-04-30,-1.6751806154020308
2009-05-31,-1.6631775836468292
2009-06-30,-1.5983560227523406
2009-07-31,-1.583913422382166
2009-08-31,-1.525305502871743
2009-09-30,-1.6267619971456055
2009-10-31,-0.8809738901668717
2009-11-30,-0.40074536809941325
2009-12-31,-0.3858348970001018
2010-01-31,-0.03476745204845148
2010-02-28,0.38841308511754147
2010-03-31,0.415781900691714
2010-04-30,-0.04373629259861961
2010-05-31,-0.1650652764596991
2010-06-30,0.11911482488663659
2010-07-31,0.02029434781975041
2010-08-31,0.36902682627145034
2010-09-30,0.6496560940646928
2010-10-31,0.7508976358369184
2010-11-30,0.9458476007632485
2010-12-31,1.0058324655170396
2011-01-31,1.167636502668581
2011-02-28,1.182963003927341
2011-03-31,1.2922121590138484
2011-04-30,1.262235319121218
2011-05-31,1.1624479767893956
2011-06-30,0.9532114216883757
2011-07-31,0.6696068413947549
2011-08-31,0.32180432726145564
2011-09-30,0.5949760401021829
2011-10-31,0.4736842883682561
2011-11-30,0.34224550281873295
2011-12-31,0.5057154014744814
2012-01-31,0.4149579025907854
2012-02-29,0.2378136755510603
2012-03-31,0.16377213333117505
2012-04-30,0.3774833486326627
2012-05-31,0.5969131422904531
2012-06-30,0.419220026924507
2012-07-31,0.562418730010205
2012-08-31,0.41748574956373796
2012-09-30,0.3058206218126397
2012-10-31,0.3292342576331749
2012-11-30,0.15652918382194134
2012-12-31,0.31596296439469634
2013-01-31,0.21064645206595436
2013-02-28,0.33118120712351595
2013-03-31,0.2666665935077539
2013-04-30,0.3794727682959208
2013-05-31,0.4154276886787286
2013-06-30,0.8050135754470841
2013-07-31,1.0062852657755799
2013-08-31,1.9584347559544324
2013-09-30,2.050706430032119
2013-10-31,2.2342051131054164
2013-11-30,2.4157077329792216
2013-12-31,1.932119983970965
2014-01-31,2.0555207632976273
2014-02-28,1.9795958194370442
2014-03-31,1.9271919902326309
2014-04-30,2.3653286942135225
2014-05-31,2.4116981776773403
2014-06-30,2.049621555502632
2014-07-31,2.1696679742138496
2014-08-31,1.8385999962225363
2014-09-30,2.08196824943505
2014-10-31,2.1417686172249426
2014-11-30,2.070099915871612
2014-12-31,1.740403624039606
2015-01-31,1.8591493370891345
2015-02-28,1.6485833511132817
2015-03-31,1.510343951453991
