period,drawdown
2022-11-11,0.0
2022-11-18,0.0
2022-11-25,0.0
2022-12-02,0.0
2022-12-09,0.0
2022-12-16,0.0
2022-12-23,0.0
2022-12-30,0.0
2023-01-06,0.0
2023-01-13,0.0
2023-01-20,0.0
2023-01-27,0.0
2023-02-03,0.0
2023-02-10,0.0
2023-02-17,0.0
2023-02-24,0.0
2023-03-03,0.0
2023-03-10,0.0
2023-03-17,0.0
2023-03-24,0.0
2023-03-31,0.0
2023-04-07,0.0
2023-04-14,0.0
2023-04-21,0.0
2023-04-28,0.0
2023-05-05,0.0
2023-05-12,0.0
2023-05-19,0.0
2023-05-26,0.0
2023-06-02,0.0
2023-06-09,0.0
2023-06-16,0.0
2023-06-23,0.0
2023-06-30,0.0
2023-07-07,0.0
2023-07-14,0.0
2023-07-21,0.0
2023-07-28,0.0
2023-08-04,0.0
2023-08-11,0.0
2023-08-18,0.0
2023-08-25,0.0
2023-09-01,0.0
2023-09-08,0.0
2023-09-15,0.0
2023-09-22,0.0
2023-09-29,0.0
2023-10-06,0.0
2023-10-13,0.0
2023-10-20,0.0
2023-10-27,0.0
2023-11-03,0.0
2023-11-10,0.0
2023-11-17,0.0
2023-11-24,0.0
2023-12-01,-0.0025502890134451173
2023-12-08,0.0
2023-12-15,0.0
2023-12-22,0.0
2023-12-29,-0.029120134971174605
2024-01-05,-0.0022695716576452973
2024-01-12,0.0
2024-01-19,0.0
2024-01-26,0.0
2024-02-02,0.0
2024-02-09,0.0
2024-02-16,0.0
2024-02-23,0.0
2024-03-01,0.0
2024-03-08,-0.009204957772755873
2024-03-15,0.0
2024-03-22,0.0
2024-03-29,-0.025744703910705158
2024-04-05,-0.025055080067334923
2024-04-12,-0.05930891925249382
2024-04-19,-0.04696045058563525
2024-04-26,-0.05154139041112271
2024-05-03,-0.018585542248288678
2024-05-10,-0.011540421089740294
2024-05-17,-0.016192587935190295
2024-05-24,-0.019692041134361182
2024-05-31,-0.02024146918499914
2024-06-07,-0.008006930278044777
2024-06-14,0.0
2024-06-21,-0.014723575725282156
2024-06-28,-0.011642667446054134
2024-07-05,-0.001986799950541962
2024-07-12,-0.005344086383480495
2024-07-19,-0.029310166161533258
2024-07-26,-0.01918979667923082
2024-08-02,-0.027408601490924278
2024-08-09,0.0
2024-08-16,0.0
2024-08-23,0.0
2024-08-30,-0.011567213297784651
2024-09-06,-0.0043147488780599375
2024-09-13,0.0
2024-09-20,0.0
2024-09-27,0.0
2024-10-04,0.0
2024-10-11,0.0
2024-10-18,-0.01426116988629711
2024-10-25,-0.03198736671938096
2024-11-01,0.0
2024-11-08,-0.0018081007238566205
2024-11-15,0.0
2024-11-22,0.0
2024-11-29,-0.007621647795015063
2024-12-06,-0.03127015857793014
2024-12-13,-0.0728411767919358
2024-12-20,-0.050441144334276156
2024-12-27,-0.06825913916020054
2025-01-03,-0.05699132855030553
2025-01-10,-0.0349688523452556
2025-01-17,-0.011417906574350267
2025-01-24,-0.00825406537968576
2025-01-31,-0.001093859538461417
2025-02-07,-0.007150719525743754
2025-02-14,-0.00897853496680412
2025-02-21,-0.04217802779104929
2025-02-28,-0.07737279987574663
2025-03-07,-0.1181104504555257
2025-03-14,-0.08405209003803915
2025-03-21,-0.07667835933169698
2025-03-28,-0.10202196311657785
2025-04-04,-0.13780378608059052
2025-04-11,-0.12104508919109003
2025-04-18,-0.10655450115219178
2025-04-25,-0.0966895657986383
2025-05-02,-0.08640289935807333
2025-05-09,-0.072598244032552
2025-05-16,-0.07785990425598599
2025-05-23,-0.07196058900808577
2025-05-30,-0.06715682021923686
2025-06-06,-0.07633946382859591
2025-06-13,-0.0852623871503273
2025-06-20,-0.07089054483281276
2025-06-27,-0.05685392028506042
2025-07-04,-0.06195035892683998
2025-07-11,-0.06127480708771682
2025-07-18,-0.04718928450419335
2025-07-25,-0.04700568894521806
2025-08-01,-0.052648340224607515
2025-08-08,-0.04158416351206695
2025-08-15,-0.04823411931985744
2025-08-22,-0.03070115858121303
2025-08-29,-0.0343221970339459
2025-09-05,-0.013729837576013315
2025-09-12,-0.013266247982437473
2025-09-19,-0.017760553828459313
2025-09-26,-0.013763790175643775
2025-10-03,-0.01906275117230094
2025-10-10,-0.02405274782215716
2025-10-17,-0.01127724864359203
2025-10-24,-0.007785598155645612
2025-10-31,-0.012419398988888775
2025-11-07,-0.010264370349297947
2025-11-14,-0.03748383201509753
2025-11-21,0.0
2025-11-28,0.0
2025-12-05,0.0
2025-12-12,-0.019642358716333463
2025-12-19,0.0
2025-12-26,-0.01633236574844399
2026-01-02,0.0
2026-01-09,0.0
2026-01-16,-0.0007061034731300486
2026-01-23,0.0
2026-01-30,-0.015209569156068414
2026-02-06,-0.0006537152202237273
2026-02-13,0.0
2026-02-20,0.0
2026-02-27,-0.04015221098713706
2026-03-06,-0.06420600257799824
2026-03-13,-0.06399853273517975
2026-03-20,-0.056001173023820905
2026-03-27,-0.05151062204406076
2026-04-03,0.0
2026-04-10,0.0
2026-04-17,0.0
2026-04-24,0.0
2026-05-01,-0.0022104987004925025
2026-05-08,0.0
2026-05-15,-0.0017700708251467967
2026-05-22,0.0
2026-05-29,-0.006630047820102791
2026-06-05,0.0
2026-06-12,-0.008743796751628952
2026-06-19,-0.008743796751628952
