setting,ann_turnover,ann_tcost,gross_sharpe,net_sharpe,net_cagr,net_maxDD
full rebalance,4.583448506093655,0.01575389971638004,1.4578809657999756,1.317255827495767,0.14730461841300513,-0.13289757355221732
band 0.25x pos,4.136565634444775,0.014242696458774788,1.4711007161657503,1.345403820965924,0.15216099277744344,-0.12960763984963464
band 0.5x pos,4.076655919093078,0.014036620930738129,1.4574623158273898,1.3378248563980415,0.1567509313783304,-0.13800393915672715
rank buffer 50%,2.3188708250447867,0.007958827736062194,1.4123656210940116,1.3393378913119691,0.14546862946909322,-0.13696654014667664
band 0.5x + buffer 50%,1.7082112138020795,0.005898512147873115,1.4366066696613526,1.3864836779673397,0.1621779178186269,-0.14084112900250367
trade rate 50%,2.9938594350356893,0.01017433735969645,1.3765838398131836,1.2843848654944745,0.14254874985659893,-0.13662146393022556
