aum,net_sharpe,net_cagr,ann_tcost,gross_sharpe
1000000.0,1.4423052521557624,0.16953197933502984,0.0023837834748223607,1.4627599766601567
10000000.0,1.441475892008968,0.1694184459729171,0.002481429906323695,1.4627599766601567
50000000.0,1.4399765109063596,0.1692132366499508,0.0026579472041859216,1.4627599766601567
100000000.0,1.4388528850047566,0.1690594921791324,0.0027902150352555268,1.4627599766601567
500000000.0,1.4341099163629398,0.16841087532977217,0.0033484117429185343,1.4627599766601567
1000000000.0,1.4305548147392255,0.16792508252362204,0.0037666793502688697,1.4627599766601567
5000000000.0,1.4155411970485394,0.16587709286635177,0.005531852328891135,1.4627599766601567
10000000000.0,1.4043614291434774,0.16435699506269263,0.006843889519431463,1.4627599766601567
50000000000.0,1.3625435183304504,0.15871121635447194,0.011730541416590757,1.4627599766601567
100000000000.0,1.3444413105515212,0.15630283149522417,0.01382038759358394,1.4627599766601567
